atime nbursts cpu_time io_time
0.0 1 500.000001 1e-06
1.0 1 100.000001 1e-06
2.0 1 100.000001 1e-06
3.0 1 100.000001 1e-06
4.0 1 10.000001 1e-06
5.0 1 10.000001 1e-06
6.0 1 10.000001 1e-06
7.0 1 10.000001 1e-06
8.0 1 10.000001 1e-06
9.0 1 10.000001 1e-06
10.0 1 1.000001 1e-06
11.0 1 1.000001 1e-06
12.0 1 1.000001 1e-06
13.0 1 1.000001 1e-06
14.0 1 1.000001 1e-06
15.0 1 1.000001 1e-06
16.0 1 1.000001 1e-06
17.0 1 1.000001 1e-06
18.0 1 1.000001 1e-06
19.0 1 1.000001 1e-06
20.0 1 500.000001 1e-06
21.0 1 100.000001 1e-06
22.0 1 100.000001 1e-06
23.0 1 100.000001 1e-06
24.0 1 10.000001 1e-06
25.0 1 10.000001 1e-06
26.0 1 10.000001 1e-06
27.0 1 10.000001 1e-06
28.0 1 10.000001 1e-06
29.0 1 10.000001 1e-06
30.0 1 1.000001 1e-06
31.0 1 1.000001 1e-06
32.0 1 1.000001 1e-06
33.0 1 1.000001 1e-06
34.0 1 1.000001 1e-06
35.0 1 1.000001 1e-06
36.0 1 1.000001 1e-06
37.0 1 1.000001 1e-06
38.0 1 1.000001 1e-06
39.0 1 1.000001 1e-06
