atime nbursts cpu_time io_time
3.490824155355811 2 60.0 32.319364155288895
3.490824155355811 101 51.0 154.56202468994206
7.919590972716022 2 60.0 26.02945034255329
14.526945089974491 2 60.0 29.326046304542274
15.095202901590067 2 60.0 31.129896936553514
26.38887868396378 2 60.0 27.27184120639648
30.82707313431128 108 54.5 160.77462256500456
31.911487277332384 111 56.0 164.22493391138076
37.40926391761964 88 44.5 137.04724200171438
56.45013521071597 115 58.0 168.20267478075036
62.70213045678484 80 40.5 123.53567319099967
66.4907319446505 115 58.0 174.25513553211974
74.90856005283958 98 49.5 148.69455303050015
80.38989753575311 90 45.5 134.6656801709575
82.16848194182703 109 55.0 163.41638651757967
82.82433324064871 106 53.5 154.13058475793076
87.9100910734546 86 43.5 134.1331054542586
89.11760622102196 101 51.0 150.87010044861444
98.60278581965099 112 56.5 168.68291793031983
103.7298702609239 113 57.0 167.23744505476338
126.7703437629283 95 48.0 137.4167347732438
128.807787232194 106 53.5 158.9035920480941
134.55882707831145 101 51.0 150.97368379634565
141.69248876848218 100 50.5 147.587284500755
143.98063245607952 68 34.5 101.93993472288052
147.53037501001904 92 46.5 134.22459432933323
166.4037101809483 105 53.0 160.83372983499115
177.25999168267097 104 52.5 156.22187564572206
180.86198969263472 108 54.5 173.03785451139197
184.10490355409127 88 44.5 130.95306196288894
185.1582896092285 90 45.5 136.1348063260049
202.68417489541508 107 54.0 158.01610783965683
204.87213464719997 106 53.5 158.63236086237342
212.85907060492994 99 50.0 150.51616263493494
217.69439974933977 112 56.5 165.2914492612182
219.24186600906523 109 55.0 160.6589549937447
230.14310224821358 116 58.5 174.6189610390616
253.53901783273506 106 53.5 159.39478513854317
255.61442225574143 101 51.0 151.8617453046679
258.88062598128494 91 46.0 135.79038388381215
270.07125927775564 91 46.0 139.21835236617304
273.2663085029366 96 48.5 145.1697306812258
297.0329896674683 106 53.5 157.8648321278725
300.009136816897 107 54.0 159.61164940345492
324.26399546432805 88 44.5 129.76644736984417
346.4457428598897 96 48.5 143.35887341508425
349.511350577835 95 48.0 141.72279929725016
350.026266500829 97 49.0 142.74885927309228
350.2588541756736 85 43.0 124.6621640842265
359.5826232099046 89 45.0 132.52291671260977
365.6098824588721 103 52.0 150.38175612246116
372.7851102995647 96 48.5 145.5355323909733
374.6684973249683 93 47.0 136.78497594829813
376.34267668272963 118 59.5 182.48021696480302
378.015763848807 101 51.0 149.76238582406611
389.06550765515453 91 46.0 138.03815306225295
401.00898289147943 106 53.5 164.69977058184105
442.8985219649411 93 47.0 141.4447114737706
442.9998134351966 93 47.0 139.73480076713875
452.2026012091688 111 56.0 162.8013425770655
454.8216043545824 94 47.5 141.39137941802832
464.2666180768933 101 51.0 151.1814027464988
472.7399014826714 104 52.5 152.41089172667287
475.0212883277441 82 41.5 121.03915748190029
490.1357555579984 91 46.0 134.9624376729846
497.12191594070987 99 50.0 138.82041759196667
504.0497100762207 103 52.0 156.4929318521681
512.288891877185 97 49.0 145.22420337187523
580.5753507005154 103 52.0 150.3812033952575
583.2472550465411 100 50.5 149.717373044706
583.9201184766919 93 47.0 140.23141160148532
592.4880737850287 106 53.5 159.94223015448924
598.6304107885526 105 53.0 152.62356859556422
604.3367752296533 94 47.5 145.5310787529372
639.1386563935854 84 42.5 126.23277907478605
639.207620906092 112 56.5 165.25779675482747
642.7972969369375 99 50.0 155.6932965953917
648.4805958958501 112 56.5 165.6190847814898
678.656879088937 121 61.0 176.8213546805212
679.3086808675617 93 47.0 137.53395037629255
685.3783767575394 100 50.5 147.8844981951283
692.5780208059342 99 50.0 143.16657394738857
696.7266810370858 101 51.0 148.01714269931537
714.970513808556 105 53.0 154.19608265054043
724.5377170752203 99 50.0 149.58317921935065
732.4580903041823 110 55.5 160.84325426849526
740.9916714264725 93 47.0 135.9995636581172
760.7882090000654 80 40.5 119.45665079301561
778.031533680368 107 54.0 159.24667884844848
782.5470489657813 95 48.0 145.07630670384958
783.4695020315338 116 58.5 172.96163164079556
788.0302416477874 86 43.5 130.63495260044718
805.9556937272458 91 46.0 135.2187732822558
806.8342333048524 98 49.5 140.46005245169687
834.6625528115565 87 44.0 128.38013663489772
835.3133553863402 86 43.5 124.0747803409001
846.834097026168 99 50.0 149.8199566464781
849.9748710170607 105 53.0 154.88746610337643
854.1400618072854 107 54.0 157.22631991489115
857.294710854701 102 51.5 150.36890116469857
877.3865393027733 111 56.0 166.34290806057325
882.603210723221 108 54.5 159.74810237064548
891.8186122670936 117 59.0 172.66516583079834
929.0492079746474 120 60.5 180.55557109574553
930.7600678363274 101 51.0 148.79322264906517
