atime nbursts cpu_time io_time
0.0005396058372591855 12 130.0 120.0
0.0007257311225422684 14 150.0 140.0
0.0008336888177617119 9 100.0 90.0
0.002223760038353886 8 90.0 80.0
0.004394809097096794 9 100.0 90.0
0.006361121606848236 10 110.0 100.0
0.007181459143092838 7 80.0 70.0
0.0075632503172712515 9 100.0 90.0
0.009947217416520436 16 170.0 160.0
0.010563181850553834 10 110.0 100.0
0.011491332891087534 13 140.0 130.0
0.011782175554956607 14 150.0 140.0
0.013086284280174689 7 80.0 70.0
0.014624779355242541 10 110.0 100.0
0.01694053516610177 10 110.0 100.0
0.017178741804021118 13 140.0 130.0
0.017333552925340473 4 50.0 40.0
0.017983779527846012 10 110.0 100.0
0.020383902530179025 9 100.0 90.0
0.02041156896430209 10 110.0 100.0
0.020788995769397422 6 70.0 60.0
0.021634631998000933 15 160.0 150.0
0.022336858611551713 6 70.0 60.0
0.023456791856724456 11 120.0 110.0
0.024579381386994278 13 140.0 130.0
0.024929623190390986 9 100.0 90.0
0.029177736165436834 6 70.0 60.0
0.03114554329501681 10 110.0 100.0
0.031274248847117034 7 80.0 70.0
0.03165224328402621 9 100.0 90.0
0.034624968037721825 11 120.0 110.0
0.03497341363331574 5 60.0 50.0
0.03536175611888138 6 70.0 60.0
0.035762647109023375 12 130.0 120.0
0.03692899443969924 7 80.0 70.0
0.03748924201172054 10 110.0 100.0
0.03804792380753191 11 120.0 110.0
0.03908140030937089 8 90.0 80.0
0.03980853116863598 6 70.0 60.0
0.04198007020258682 10 110.0 100.0
0.04245985186745961 12 130.0 120.0
0.04270847820706787 12 130.0 120.0
0.042750837924503744 8 90.0 80.0
0.044814942862995304 11 120.0 110.0
0.04596764620133114 12 130.0 120.0
0.04680625932044006 5 60.0 50.0
0.046867259795515315 10 110.0 100.0
0.052852739379629636 11 120.0 110.0
0.05381664791238373 6 70.0 60.0
0.05403213059263602 13 140.0 130.0
0.055927711163148 12 130.0 120.0
0.05675085030493798 13 140.0 130.0
0.05724022308575035 10 110.0 100.0
0.05737571455103074 7 80.0 70.0
0.05816637443471284 13 140.0 130.0
0.05847173047420293 7 80.0 70.0
0.05942135137455862 16 170.0 160.0
0.05984706237666976 8 90.0 80.0
0.06057694109905837 9 100.0 90.0
0.06063425078485804 8 90.0 80.0
0.0628465591297954 15 160.0 150.0
0.06405897761186967 10 110.0 100.0
0.06421351644567916 11 120.0 110.0
0.06438552951987936 10 110.0 100.0
0.06666340524240218 9 100.0 90.0
0.06750308810417624 12 130.0 120.0
0.06770610973098387 14 150.0 140.0
0.06783277712021198 15 160.0 150.0
0.06807068073587162 14 150.0 140.0
0.06903595068707062 12 130.0 120.0
0.07136813796803378 10 110.0 100.0
0.07144047855670398 2 30.0 20.0
0.07219045328257799 8 90.0 80.0
0.07427313095311354 17 180.0 170.0
0.07750198510178216 5 60.0 50.0
0.0785502849796428 12 130.0 120.0
0.07951264929534428 7 80.0 70.0
0.08043252998766921 12 130.0 120.0
0.08125050689851558 14 150.0 140.0
0.08201018188103373 8 90.0 80.0
0.08285650066539217 18 190.0 180.0
0.0832076621556681 7 80.0 70.0
0.08374568902256448 10 110.0 100.0
0.08442986651405454 11 120.0 110.0
0.08457744583669367 9 100.0 90.0
0.0849042269564219 8 90.0 80.0
0.08556093786899421 13 140.0 130.0
0.08594690429935638 6 70.0 60.0
0.08605540124787517 7 80.0 70.0
0.0865545616797163 10 110.0 100.0
0.08724284945554167 13 140.0 130.0
0.08746799079411481 8 90.0 80.0
0.09076532124403994 12 130.0 120.0
0.0908530833898391 14 150.0 140.0
