atime nbursts cpu_time io_time
9.471886325232656 89 45.0 132.03462881658976
12.377500286241686 99 50.0 148.2835493841479
16.399880773076717 111 56.0 161.454604426689
24.789449348457545 98 49.5 147.64644930171633
26.675473727305295 101 51.0 152.95551218484906
36.77484658541954 110 55.5 166.1308285803852
45.081026958411925 92 46.5 140.73074561557422
66.42956427310995 87 44.0 132.79494058317002
79.10540451468663 112 56.5 164.91784292729255
87.39337904167544 101 51.0 152.25772358881088
100.8333848154102 110 55.5 162.1037127020402
101.10037097235548 90 45.5 132.59978195248368
104.90388585400024 98 49.5 150.5882115985128
107.42975046752359 100 50.5 148.01044612184535
108.86118688265618 104 52.5 160.25181375635646
109.43671024844929 100 50.5 148.50619140153006
114.68577699530954 91 46.0 133.70710835695678
123.22869716855016 98 49.5 145.35177606738708
134.9462179020166 107 54.0 154.88114090184254
135.3260384374321 89 45.0 132.4255428753233
152.10925012041938 90 45.5 130.96588701874265
155.97221799263673 89 45.0 134.61284661246253
178.73003956735567 77 39.0 111.00135376754201
184.37331992999967 103 52.0 160.81818108567455
190.5388271446936 109 55.0 164.27089221188612
201.4408172128975 99 50.0 145.9194222916751
209.78900512371777 103 52.0 156.49037390569413
239.39815378889026 95 48.0 142.9897200981917
252.75127066441735 106 53.5 160.4121145564175
272.86164686729825 112 56.5 174.4544814334394
289.645146952576 101 51.0 149.65528484796098
294.84598240293775 124 62.5 185.19375676688807
299.1956303418499 101 51.0 149.17299689211842
328.06339059292304 97 49.0 146.65839820876494
334.3436869419369 100 50.5 146.73708063627504
349.2668983445069 77 39.0 112.87387816917635
360.116722101947 100 50.5 150.92889758923243
362.2762490596709 101 51.0 150.7717088063972
363.8896643038349 96 48.5 143.63086684990148
374.90182717256675 90 45.5 135.18052379329794
380.88531747700404 94 47.5 140.05231711615798
401.362126007093 102 51.5 154.91246542726475
411.0074921569144 98 49.5 146.39692449992498
441.20367244181864 95 48.0 144.21486386844333
443.9937994232331 88 44.5 131.57726756917697
454.35038467467984 97 49.0 150.72289831659978
460.3643469117602 104 52.5 156.94931928812156
468.1557682323108 96 48.5 143.40987612952858
469.300050469969 102 51.5 155.7994792913875
472.04820693380236 105 53.0 156.88304608757528
479.9154113248566 111 56.0 167.30588981294926
490.84579880125335 100 50.5 154.01890445955164
504.38989431314644 112 56.5 170.84656769302345
513.4272227533652 101 51.0 149.329785600337
517.5846031963555 100 50.5 151.14498224422437
533.8139999443263 110 55.5 163.19435801560854
539.3146519306833 87 44.0 127.2840618505432
558.8295769432762 102 51.5 149.90626572865136
566.1853549361219 97 49.0 146.9628482761682
571.7514279313954 111 56.0 170.55645867246616
573.0390690483318 106 53.5 161.29146523211244
592.6026777767592 99 50.0 147.530141665702
593.99487632107 86 43.5 131.5244342294127
598.3251669411391 106 53.5 157.18276596454785
599.9615132138127 91 46.0 139.03110930688288
606.7876101880063 85 43.0 128.52358389252043
613.0170527141817 96 48.5 140.52152765820856
617.8179311815652 98 49.5 149.69265706057362
619.8311423535829 98 49.5 151.45050667841136
636.0714079841463 115 58.0 173.73804323936227
637.9115324815501 91 46.0 137.26134486458304
654.2893248606233 98 49.5 146.9414249438588
655.704855858448 94 47.5 138.52922499230326
662.4259987097927 100 50.5 148.64221997953626
673.7895599203417 79 40.0 120.40514190695754
683.3248708645721 103 52.0 156.49156116950385
686.0252992190755 111 56.0 161.28143829051095
688.0083759889461 106 53.5 162.3808744437784
694.0592873346161 108 54.5 161.4412881504648
697.6830930162174 114 57.5 167.30171787959125
706.3972513707915 106 53.5 158.50352514063246
710.4845036310518 98 49.5 147.7509332369376
711.0161843672734 106 53.5 156.26280607713952
716.0217053707864 100 50.5 149.76188208356314
720.3869003271368 106 53.5 163.16913687877084
729.3028727965584 84 42.5 125.89682733708356
730.7580617076621 90 45.5 137.4400536534822
758.5771127965916 116 58.5 170.9097476266098
780.4858645159228 102 51.5 153.74823824130826
793.827397673427 106 53.5 160.76832522821107
797.2493924884488 97 49.0 138.91240190641784
799.1083611120441 118 59.5 181.52214053958775
810.8516771839087 98 49.5 144.67021262139951
813.2386634245319 91 46.0 134.78595634570948
816.9479736174749 98 49.5 149.58736244343626
818.9169970939934 104 52.5 155.22998275801382
835.3018122799423 96 48.5 142.41412654607322
835.9299031668136 93 47.0 138.64004611526323
845.9155656639861 94 47.5 141.5786135953686
856.8195239032189 101 51.0 147.3776792003475
