# Cpu scheduler: fcfs
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
6 5.320391430873398 15.741176054920132 0.0 15.741176054920132 88.71251905283349 72.97134299791335 0
14 10.381686052820736 11.213434557407373 0.0 11.213434557407373 199.22661472602942 188.01318016862206 0
15 10.427260864253553 12.257093386078548 0.0 12.257093386078548 211.43813330067513 199.1810399145966 0
0 0.5396058372591854 23.946711674006373 0.14675589081711304 24.093467564823488 268.96826836675905 244.87480080193555 0.14675589081711315
22 20.07150856647318 12.343620861214205 0.0 12.343620861214205 305.53520884366685 293.19158798245263 0
30 27.074096210022322 13.779241793280999 0.0 13.779241793280999 425.27703854445747 411.49779675117645 0
39 36.3805732516745 15.085162406102395 0.0 15.085162406102395 564.4925862209178 549.4074238148154 0
46 41.86554542212879 16.185135669120854 0.0 16.185135669120854 687.4994015480886 671.3142658789677 0
3 3.9464177710523725 29.171972866622955 0.1698304195645689 29.341803286187524 801.6584337979884 772.3166305118009 0.169830419564569
51 51.92440566882103 15.220512472525108 0.0 15.220512472525108 768.9009583727449 753.6804459002198 0
59 62.223113258817335 10.229151313223818 0.0 10.229151313223818 861.9668513037881 851.7376999905642 0
92 97.85527495850918 14.705878794988857 0.0 14.705878794988857 1376.8033952070032 1362.0975164120143 0
95 104.39761231272607 17.03519331105081 0.0 17.03519331105081 1423.6009847383543 1406.5657914273036 0
109 114.96918430008792 11.934163990149184 0.0 11.934163990149184 1629.911590739257 1617.9774267491077 0
110 115.37815123418493 16.05116780500366 0.0 16.05116780500366 1645.5537916101634 1629.5026238051598 0
117 121.36459606502359 11.618477141238351 0.0 11.618477141238351 1763.3077784517434 1751.689301310505 0
119 124.62617115010312 13.282561036507808 0.0 13.282561036507808 1789.3186172929059 1776.036056256398 0
122 134.29811918101103 19.71083319625464 0.0 19.71083319625464 1825.1339724492984 1805.4231392530437 0
161 167.3563042961162 11.388165180456737 0.0 11.388165180456737 2434.3884400413453 2423.0002748608886 0
164 173.64711619441618 16.83710335821638 0.0 16.83710335821638 2492.511593174834 2475.674489816618 0
165 173.77540521160057 15.572682300749138 0.0 15.572682300749138 2507.9559864583985 2492.3833041576495 0
172 186.43679528290753 14.760891180021048 0.0 14.760891180021048 2610.7067476091765 2595.9458564291554 0
176 190.0170640797487 19.007422150717332 0.0 19.007422150717332 2670.26372272881 2651.2563005780926 0
203 221.778881150113 14.257244119851162 0.0 14.257244119851162 3081.0875999214786 3066.8303558016273 0
211 226.47423229379348 11.986482644205616 0.0 11.986482644205616 3197.2705081011095 3185.2840254569037 0
