# Cpu scheduler: rr
# Quantum: 0.1
pid arrival_time cpu_bursts_time io_bursts_time nbursts bursts_time tat ready_wait_time io_wait_time
5 36.25811546919798 60.0 0.1 2 60.1 1321.0826104120376 1227.3862019059645 33.69640850608084
1 1.233648048794296 29.636365073893348 53.0 54 82.63636507389336 1825.2307830401862 475.9447291861446 1319.6496887801507
7 48.86532407130589 23.847907513182804 41.0 42 64.8479075131828 1972.6240918867002 497.683698895186 1451.092485478334
18 114.68262681119037 20.880590685279962 37.0 38 57.88059068527997 2174.198747294088 478.89480567715617 1674.4233509316555
2 7.426666182532479 31.647575706809608 55.0 56 86.64757570680963 2313.8184618213677 532.2468809074624 1749.9240052071011
8 53.43650473231845 25.03711898310883 47.0 48 72.03711898310881 2540.795884697488 538.5443254268414 1977.2144402875422
3 14.480987381369584 33.32569610653093 56.0 57 89.32569610653094 2682.9366056813983 600.2244188291768 2049.3864907456973
6 37.69849972689204 28.030468423097194 50.0 51 78.0304684230972 2674.6191196829373 566.2841779064804 2080.304473353366
30 195.27545788170258 19.70400301539238 37.0 38 56.70400301539238 2554.996884505078 430.86080336580346 2104.4320781238885
28 160.75459127563357 23.711375841834563 42.0 43 65.71137584183455 2985.3994994737122 526.7364763345751 2434.951647297309
11 69.464380225663 150.0 0.4 5 150.4 3170.63720555833 2715.7832850372038 304.85392052122165
13 76.3869988988777 150.0 0.4 5 150.4 3255.4004112179687 2790.804467194959 314.59594402310586
29 183.72544952659814 25.860175274074095 45.0 46 70.8601752740741 3244.6012047616814 549.6277533199785 2669.113276167641
38 276.2472358882638 23.754249680777065 41.0 42 64.75424968077706 3299.6701355479336 498.5605074094904 2777.3553784576757
24 141.15010341487752 29.35075245369653 48.0 49 77.35075245369654 3447.9290022530745 624.4802189164867 2794.098030882902
32 208.07681877934868 24.617085236377203 46.0 47 70.61708523637718 3423.9572989208727 511.49221729934527 2887.847996385163
52 458.49088666203573 22.741072985047058 36.0 37 58.741072985047055 3179.8448379181673 444.1962421498777 2712.907522783254
31 201.67032973722903 23.385880550303582 47.0 48 70.38588055030358 3444.896849162895 490.90443684458046 2930.606531768021
21 119.41069089697643 25.040422626328482 52.0 53 77.04042262632848 3654.649778858816 534.5045136317179 3095.104842600779
35 267.0086302654278 27.368318814397576 43.0 44 70.36831881439755 3513.5274800036104 546.5825681990883 2939.5765929901368
14 79.25441688740511 180.0 0.5 6 180.5 3732.559673105511 3154.028964422383 398.530708683252
40 292.6505659204144 25.095946121127774 44.0 45 69.09594612112777 3563.156539876924 509.1556882767505 3028.904905479059
25 143.2823666532774 30.215439837699872 52.0 53 82.21543983769986 3729.2624601937578 612.7267884203909 3086.3202319356815
12 72.48949423840318 33.55182532879081 56.0 57 89.55182532879081 3816.4558003330944 671.5603710056104 3111.343603998706
4 20.480914081019737 210.0 0.6 7 210.6 3886.222002125564 3228.210427081041 448.0115750446628
10 62.2976314863434 210.0 0.6 7 210.6 3930.616968109656 3259.322530586449 461.2944375233559
37 275.8708410209152 27.745387285815795 47.0 48 74.7453872858158 3776.307866998651 551.868824961357 3196.693654751492
19 114.8896735692335 34.20003633484846 55.0 56 89.20003633484846 3943.9570228166194 683.2754159518365 3226.4815705299493
46 384.80068751105136 24.18489177953892 44.0 45 68.18489177953893 3695.2174632848446 459.84011715127946 3211.192454354038
61 609.7816342873654 22.862269683436985 38.0 39 60.86226968343699 3471.3843470300158 407.36537349186233 3041.156703854731
65 648.6571880128848 22.21292910064137 38.0 39 60.212929100641375 3478.9786488083773 410.2473510252271 3046.5183686825226
27 148.35121689090508 28.439663255399147 55.0 56 83.43966325539915 4020.7449410024524 579.2523639631587 3413.0529137839044
15 93.39700325203076 210.0 0.6 7 210.6 4081.0308504047175 3391.9841279080865 479.0467224967449
67 691.270870292469 22.438579137444446 39.0 40 61.43857913744445 3538.105062562362 361.69006682756765 3153.9764165973584
51 456.050272456506 29.54789869111046 44.0 45 73.54789869111046 3819.9240054386028 513.069609337506 3277.306497409993
36 269.4709869283442 29.96433894504003 51.0 52 80.96433894504003 4036.808355506103 543.8738078206441 3462.970208740427
77 763.2897007114251 23.687673803887414 39.0 40 62.68767380388741 3572.559421756934 385.25432022925816 3163.6174277237974
26 144.25397332204474 32.232409705708044 56.0 57 88.23240970570804 4199.153150986569 639.7177384283377 3527.2030028525255
96 879.3122020713837 19.22598988590944 38.0 39 57.22598988590944 3471.6982247745827 324.08505791326115 3128.3871769754187
17 110.37849326805194 33.41346756835223 61.0 62 94.41346756835222 4244.624263874676 652.5660647147228 3558.6447315916084
49 434.8296256509327 25.056138826997348 47.0 48 72.05613882699734 3920.4631707920644 452.60675087296914 3442.800281092109
0 1.233648048794296 270.0 0.8 9 270.8 4420.6434976110495 3561.0007058199126 589.6427917911303
20 118.32994451156887 32.37911197959363 60.0 61 92.37911197959362 4331.137387564456 622.198031447374 3676.560244137494
63 641.4901255588754 23.371071223526023 43.0 44 66.37107122352603 3823.1781594291315 399.67459110330253 3400.132497102303
22 123.81321428845851 32.85115668989331 60.0 61 92.85115668989332 4353.475819932987 633.3289458924376 3687.2957173506593
