# Cpu scheduler: sjf
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time nbursts bursts_time tat ready_wait_time io_wait_time
3 16.261496397657545 120.0 0.30000000000000004 4 120.3 2091.4864038688506 1869.6420048564573 101.84439901239327
5 17.811014069078013 120.0 0.30000000000000004 4 120.3 2156.3119107037023 1931.4552946999274 104.85661600377486
20 67.87779212267516 23.264007468434674 41.0 42 64.26400746843467 2143.6479777148907 362.4479546163556 1757.9360156301
2 13.820898407545384 22.030351174956483 38.0 39 60.03035117495648 2427.3960197927 597.8689127927856 1807.496755824958
19 66.9572192238048 22.887071938155803 43.0 44 65.8870719381558 2818.191525072677 463.0924419615459 2332.2120111729746
11 34.585984162958205 150.0 0.4 5 150.4 2912.9443525678425 2558.313370142341 204.63098242550166
4 16.660952657051926 25.377290452055767 45.0 46 70.37729045205576 2940.303099117114 583.2382951183033 2331.6875135467553
12 38.79212599898547 150.0 0.4 5 150.4 2974.8183618260664 2607.5943603424794 217.2240014835869
26 169.8971975109949 22.852278840264226 43.0 44 65.85227884026422 2879.802810976536 477.13917695072547 2379.8113551855463
13 45.57735295666005 150.0 0.4 5 150.4 3102.3700614758063 2728.42471245901 223.94534901679583
17 62.69761581457672 150.0 0.4 5 150.4 3152.338617429168 2767.9509582572805 234.3876591718879
14 47.41597442271002 25.757998422521588 46.0 47 71.7579984225216 3233.009920302325 676.6227411048781 2530.6291807749253
6 26.275970783796584 29.507314365197605 53.0 54 82.50731436519759 3261.9871814526446 640.3744027837873 2592.10546430366
10 31.76512691047627 180.0 0.5 6 180.5 3369.249608670691 2927.163445889148 262.08616278154284
24 134.46089874197312 27.470860837511584 45.0 46 72.4708608375116 3272.4525943574713 449.84633718138394 2795.135396338576
32 245.03735213257244 20.88538951536294 42.0 43 62.88538951536293 3186.148619880766 516.5237726062785 2648.7394577591253
0 12.707744577284032 210.0 0.6 7 210.6 3448.4782274360546 2955.2709483649523 283.2072790711022
8 31.035514188539825 28.193075551169375 51.0 52 79.19307555116936 3455.103455100084 657.7654188974186 2769.144960651496
1 12.707744577284032 26.282205194680877 52.0 53 78.28220519468088 3585.8710715348916 637.7065309877787 2921.8823353524317
16 62.4020377228584 29.086346277768186 52.0 53 81.08634627776819 3595.8985826542016 606.6921645521655 2960.1200718242685
25 152.84703336249447 23.96132334659756 45.0 46 68.96132334659757 3515.417855054754 605.9807728085854 2885.4757588995703
46 366.6173329836963 21.691768210447606 38.0 39 59.6917682104476 3306.94181124625 521.3479535617507 2763.9020894740506
49 390.5478809651188 22.690987359209696 37.0 38 59.6909873592097 3355.2601171196966 542.0018714039004 2790.5672583565865
21 69.27243542987502 32.662414092367214 53.0 54 85.66241409236721 3727.1374556405713 592.3048844389585 3102.170157109245
29 204.40576363102096 26.859014963378467 45.0 46 71.85901496337847 3607.4923349518795 700.3018943172208 2880.3314256712797
9 31.14710893572597 270.0 0.8 9 270.8 3815.8851526058643 3112.4116519109566 433.47350069490756
