# Cpu scheduler: srtf
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time nbursts bursts_time tat ready_wait_time io_wait_time
2 0.4879798544523354 26.283026171350333 44.0 45 70.28302617135034 349.5511979760551 1.6903604922112376 321.57781131249357
6 17.823259117890075 27.857440143711816 51.0 52 78.85744014371181 1202.9137774764 0.6097366357867635 1174.4466006969014
14 68.2039713992186 60.0 0.1 2 60.1 1395.9302959117545 1266.1377626051694 69.79253330658503
8 30.866229200549085 27.60350616521342 50.0 51 77.60350616521342 1546.2979599736673 2.189611708663847 1516.5048420997894
1 0.08601686408915786 39.260176819325594 67.0 68 106.26017681932561 1910.9511705683296 2.2268501238247893 1869.464143625179
15 88.03800824312495 22.860935256766417 42.0 43 64.86093525676641 1922.405617599228 0.4283701004808904 1899.1163122419805
17 107.74052786901703 22.489742811634226 46.0 47 68.48974281163423 2580.012317855615 2.464655420225256 2555.0579196237554
10 48.36734023344256 33.36071594011217 58.0 59 91.36071594011219 2728.2245927117683 2.128531811818121 2692.7353449598377
23 178.76535285896648 24.755411448212 41.0 42 65.755411448212 2724.7645018652274 2.6556550044771257 2697.353435412539
30 248.04608357895168 23.03975798621572 39.0 40 62.03975798621572 2858.4049224703463 1.5001046634530155 2833.8650598206777
16 95.46120995845914 32.22017027448526 53.0 54 85.22017027448526 3098.758986702764 1.2933113682485526 3065.2455050600297
32 258.4862801947995 22.297150608341177 40.0 41 62.297150608341184 2988.3326689512787 0.5159716130635843 2965.5195467298736
18 111.09080203079607 25.80421691334312 52.0 53 77.80421691334313 3211.474900128384 3.985434280588578 3181.6852489344524
3 2.499070796929715 180.0 0.5 6 180.5 3367.488726311388 2811.962514760144 375.5262115512436
4 10.052860006378065 180.0 0.5 6 180.5 3425.1119936621203 2852.560513600353 392.55148006176785
42 373.85607200826973 21.899078052747292 38.0 39 59.8990780527473 3094.2681522370294 1.8696127077674873 3070.4994614765137
5 10.930107972466336 180.0 0.5 6 180.5 3490.003429233617 2906.5273612261235 403.476068007494
21 156.42719244334626 27.872120917104496 50.0 51 77.87212091710448 3388.9689139190123 1.07837356992232 3360.018419431985
25 192.74923509283158 25.46244237908238 48.0 49 73.46244237908238 3421.9393806209555 0.518343206408332 3395.9585950354654
19 118.29502118146965 35.423762507227046 55.0 56 90.42376250722705 3523.385385923944 3.0633558598366903 3484.89826755688
37 321.9592613152653 21.395632197575274 42.0 43 63.39563219757528 3341.923493586827 0.2074025884678008 3320.3204588007843
20 154.41673185349003 30.888699624223978 52.0 53 82.88869962422396 3535.7392844133387 1.5698220573777348 3503.280762731737
26 212.5862889303477 26.615464081982847 48.0 49 74.61546408198285 3511.910000654853 1.3221452232228899 3483.9723913496464
33 277.4312097612709 26.545561199469113 47.0 48 73.54556119946912 3650.4880904895945 1.9990001658461551 3621.94352912428
36 306.3061329786511 29.432515115045735 46.0 47 75.43251511504575 3632.4529715057315 0.9312351654390909 3602.0892212252465
22 166.7348436362755 29.24456119168634 54.0 55 83.24456119168633 3776.9532741139055 1.7292236266674195 3745.979489295552
27 214.54121900797017 27.138685546925945 51.0 52 78.13868554692596 3764.8180237527445 2.0798371205596595 3735.599501085259
62 620.9438428498287 23.019811988319063 38.0 39 61.01981198831906 3389.8748928816985 0.46091694862479926 3366.3941639447553
9 41.90777529583636 210.0 0.6 7 210.6 4009.6058140760233 3303.2236580248946 496.38215605112856
54 542.1127306627651 20.652355678417454 41.0 42 61.652355678417464 3562.589627562047 1.4132103184801963 3540.5240615651496
11 55.532419554438704 210.0 0.6 7 210.6 4059.717532729553 3351.2321162671346 498.48541646241756
34 284.9085614771273 28.237544076738494 50.0 51 78.2375440767385 3899.029424370967 1.2957610985604902 3869.4961191956686
49 485.63643795663654 24.449236594498313 44.0 45 68.44923659449832 3738.652673108907 0.0 3714.2034365144077
29 237.80380705081947 29.693384738273057 53.0 54 82.69338473827305 4003.2281105116194 1.9004354930672207 3971.6342902802794
50 502.43389459854365 25.13742531114326 44.0 45 69.13742531114326 3748.271587674162 0.25261479464620606 3722.881547568372
45 398.68027929128937 23.520595221139004 48.0 49 71.520595221139 3931.1322281315624 0.0016858146436788957 3907.609947095779
56 558.1167517547855 23.68194568448301 44.0 45 67.68194568448301 3795.5682726159375 0.15547825505893798 3771.730848676394
108 1013.3111500958604 20.910271506337786 37.0 38 57.910271506337786 3345.7541430880665 0.6294822859184706 3324.2143892958106
100 943.7143479605758 22.550068785907623 38.0 39 60.55006878590763 3431.2422779523076 0.2052519476425232 3408.486957218758
38 334.75315296807884 27.91931671944498 51.0 52 78.91931671944499 4059.6251925445845 1.580851962098052 4030.125023863041
35 293.40666357954393 30.968961814676952 53.0 54 83.96896181467696 4120.536940586681 0.6262954825283487 4088.9416832894776
89 876.7357115047239 22.618475463076013 40.0 41 62.61847546307601 3574.3620980896153 0.3105619116589651 3551.4330607148813
24 192.42393318735898 31.774978446662093 59.0 60 90.77497844666209 4274.523980912364 2.65448759375451 4240.094514871948
58 591.6165206457263 24.652898703585016 45.0 46 69.65289870358501 3879.723043441125 0.5657962047241654 3854.504348532814
43 375.3712799558619 30.66835414658473 51.0 52 81.66835414658472 4123.013561073661 2.1151595284646305 4090.23004739861
69 659.2723944678385 25.006482382191578 44.0 45 69.00648238219158 3840.632111276398 0.05220020470767395 3815.5734286894985
47 457.965725458965 28.47017394314815 49.0 50 77.47017394314815 4061.418756444408 2.7652024545249674 4030.183380046735
103 984.7705902321454 22.28391400454263 40.0 41 62.28391400454263 3547.3682700444865 0.15299326735146224 3524.9313627725915
65 641.2968571476067 23.683884992866947 45.0 46 68.68388499286696 3896.5875794512012 0.7326297026340853 3872.1710647556984
60 612.3807735315166 27.7878915054802 46.0 47 73.78789150548019 3952.55458303424 0.5757092005345612 3924.190982328226
44 384.1968181164994 29.19717465107749 52.0 53 81.19717465107749 4187.178922454511 1.4405483190051882 4156.541199484427
71 671.6232072134667 26.451586963230405 45.0 46 71.4515869632304 3901.869305118617 0.09406273978333957 3875.323655415604
72 679.381214542966 24.550976449231122 45.0 46 69.55097644923113 3899.9045945390003 0.5174461800050949 3874.836171909764
53 541.5641305834097 25.79171115180738 48.0 49 73.79171115180739 4042.313856455494 0.22697362895803508 4016.2951716747293
94 895.6930035239012 24.3428477786562 42.0 43 66.3428477786562 3693.2429130740047 0.3395322391886566 3668.56053305616
86 828.4196442206343 22.32658942037019 43.0 44 65.3265894203702 3764.6882439981296 0.42604018919882947 3741.93561438856
28 228.64337717210503 30.774139519474087 59.0 60 89.77413951947409 4367.417110563451 0.4979474174219831 4336.1450236265555
55 554.8669117066313 25.804334006210897 48.0 49 73.8043340062109 4046.059461635954 2.117117474168026 4018.138010155574
