# Cpu scheduler: fcfs
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
0 0.0 100.0 0.0 100.0 100.0 0.0 0
1 1.0 100.0 0.0 100.0 199.0 99.0 0
2 2.0 100.0 0.0 100.0 298.0 198.0 0
3 3.0 100.0 0.0 100.0 397.0 297.0 0
4 4.0 100.0 0.0 100.0 496.0 396.0 0
5 5.0 100.0 0.0 100.0 595.0 495.0 0
6 6.0 100.0 0.0 100.0 694.0 594.0 0
7 7.0 100.0 0.0 100.0 793.0 693.0 0
8 8.0 100.0 0.0 100.0 892.0 792.0 0
9 9.0 100.0 0.0 100.0 991.0 891.0 0
10 10.0 1.0 0.0 1.0 991.0 990.0 0
11 11.0 1.0 0.0 1.0 991.0 990.0 0
12 12.0 1.0 0.0 1.0 991.0 990.0 0
13 13.0 1.0 0.0 1.0 991.0 990.0 0
14 14.0 1.0 0.0 1.0 991.0 990.0 0
15 15.0 1.0 0.0 1.0 991.0 990.0 0
16 16.0 1.0 0.0 1.0 991.0 990.0 0
17 17.0 1.0 0.0 1.0 991.0 990.0 0
18 18.0 1.0 0.0 1.0 991.0 990.0 0
19 19.0 1.0 0.0 1.0 991.0 990.0 0
