# Cpu scheduler: rr
# Quantum: 0.1
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
10 10.0 1.000001 1e-06 1.000002 19.40002900000016 18.400027000000154 9.999999992515995e-07
11 11.0 1.000001 1e-06 1.000002 21.2000310000002 20.200029000000193 9.999999992515995e-07
12 12.0 1.000001 1e-06 1.000002 22.70003400000023 21.70003200000022 9.999999992515995e-07
13 13.0 1.000001 1e-06 1.000002 24.400036000000263 23.400034000000254 9.999999992515995e-07
14 14.0 1.000001 1e-06 1.000002 25.900038000000293 24.90003600000028 9.999999992515995e-07
15 15.0 1.000001 1e-06 1.000002 27.100041000000317 26.1000390000003 1.0000000010279564e-06
16 16.0 1.000001 1e-06 1.000002 28.30004100000035 27.300039000000332 1.0000000010279564e-06
17 17.0 1.000001 1e-06 1.000002 29.800041000000384 28.800039000000368 1.0000000010279564e-06
18 18.0 1.000001 1e-06 1.000002 30.60004100000041 29.600039000000393 1.0000000010279564e-06
19 19.0 1.000001 1e-06 1.000002 31.200041000000432 30.200039000000416 1.0000000010279564e-06
30 30.0 1.000001 1e-06 1.000002 35.60004100000053 34.60003900000052 9.999999974752427e-07
31 31.0 1.000001 1e-06 1.000002 35.80004100000046 34.80003900000046 9.999999974752427e-07
32 32.0 1.000001 1e-06 1.000002 35.800041000000405 34.8000390000004 9.999999974752427e-07
33 33.0 1.000001 1e-06 1.000002 35.700041000000354 34.70003900000035 9.999999974752427e-07
34 34.0 1.000001 1e-06 1.000002 35.7000410000003 34.7000390000003 9.999999974752427e-07
35 35.0 1.000001 1e-06 1.000002 35.40004100000026 34.40003900000026 9.999999974752427e-07
36 36.0 1.000001 1e-06 1.000002 35.300041000000206 34.30003900000021 9.999999974752427e-07
37 37.0 1.000001 1e-06 1.000002 35.00004100000017 34.00003900000018 9.999999974752427e-07
38 38.0 1.000001 1e-06 1.000002 34.70004100000013 33.70003900000014 9.999999974752427e-07
39 39.0 1.000001 1e-06 1.000002 34.40004100000009 33.4000390000001 9.999999974752427e-07
4 4.0 10.000001 1e-06 10.000002 199.10004099999276 189.1000389999931 1.000000000139778e-06
5 5.0 10.000001 1e-06 10.000002 202.40004099999254 192.4000389999929 1.000000000139778e-06
6 6.0 10.000001 1e-06 10.000002 204.70004099999238 194.70003899999273 1.000000000139778e-06
7 7.0 10.000001 1e-06 10.000002 206.80004099999223 196.8000389999926 1.000000000139778e-06
8 8.0 10.000001 1e-06 10.000002 207.60004099999216 197.60003899999253 9.999999992515995e-07
9 9.0 10.000001 1e-06 10.000002 208.70004099999207 198.70003899999247 9.999999992515995e-07
24 24.0 10.000001 1e-06 10.000002 208.70004099999124 198.70003899999168 1.0000000010279564e-06
25 25.0 10.000001 1e-06 10.000002 208.20004099999124 198.2000389999917 1.0000000010279564e-06
26 26.0 10.000001 1e-06 10.000002 207.70004099999124 197.7000389999917 1.0000000010279564e-06
27 27.0 10.000001 1e-06 10.000002 207.20004099999124 197.2000389999917 1.0000000010279564e-06
28 28.0 10.000001 1e-06 10.000002 206.60004099999125 196.6000389999917 1.0000000010279564e-06
29 29.0 10.000001 1e-06 10.000002 205.90004099999126 195.90003899999172 1.0000000010279564e-06
1 1.0 100.000001 1e-06 100.000002 926.7000410001441 826.7000390001243 9.999999999177334e-07
2 2.0 100.000001 1e-06 100.000002 929.8000410001464 829.8000390001264 1.000000000139778e-06
3 3.0 100.000001 1e-06 100.000002 930.9000410001482 830.9000390001282 1.000000000139778e-06
21 21.0 100.000001 1e-06 100.000002 923.1000410001519 823.1000390001313 1.0000000010279564e-06
22 22.0 100.000001 1e-06 100.000002 922.4000410001534 822.4000390001328 1.0000000010279564e-06
23 23.0 100.000001 1e-06 100.000002 921.4000410001547 821.4000390001343 1.0000000010279564e-06
0 0.0 500.000001 1e-06 500.000002 1735.9000409994803 1235.900038999821 1e-06
20 20.0 500.000001 1e-06 500.000002 1720.0000409994316 1220.0000389997758 1.0000000010279564e-06
