# Cpu scheduler: sjf
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
0 0.0 100.0 0.0 100.0 100.0 0.0 0
10 10.0 1.0 0.0 1.0 91.0 90.0 0
11 11.0 1.0 0.0 1.0 91.0 90.0 0
12 12.0 1.0 0.0 1.0 91.0 90.0 0
13 13.0 1.0 0.0 1.0 91.0 90.0 0
14 14.0 1.0 0.0 1.0 91.0 90.0 0
15 15.0 1.0 0.0 1.0 91.0 90.0 0
16 16.0 1.0 0.0 1.0 91.0 90.0 0
17 17.0 1.0 0.0 1.0 91.0 90.0 0
18 18.0 1.0 0.0 1.0 91.0 90.0 0
19 19.0 1.0 0.0 1.0 91.0 90.0 0
1 1.0 100.0 0.0 100.0 209.0 109.0 0
2 2.0 100.0 0.0 100.0 308.0 208.0 0
3 3.0 100.0 0.0 100.0 407.0 307.0 0
4 4.0 100.0 0.0 100.0 506.0 406.0 0
5 5.0 100.0 0.0 100.0 605.0 505.0 0
6 6.0 100.0 0.0 100.0 704.0 604.0 0
7 7.0 100.0 0.0 100.0 803.0 703.0 0
8 8.0 100.0 0.0 100.0 902.0 802.0 0
9 9.0 100.0 0.0 100.0 1001.0 901.0 0
