# Cpu scheduler: srtf
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
10 10.0 1.000001 1e-06 1.000002 1.0000029999999978 9.999999992515995e-07 9.999999992515995e-07
11 11.0 1.000001 1e-06 1.000002 1.000003999999997 1.999999998503199e-06 9.999999992515995e-07
12 12.0 1.000001 1e-06 1.000002 1.0000049999999963 2.9999999977547986e-06 9.999999992515995e-07
13 13.0 1.000001 1e-06 1.000002 1.0000059999999955 3.999999997006398e-06 9.999999992515995e-07
14 14.0 1.000001 1e-06 1.000002 1.0000069999999948 4.999999996257998e-06 9.999999992515995e-07
15 15.0 1.000001 1e-06 1.000002 1.000007999999994 5.999999997285954e-06 9.999999992515995e-07
16 16.0 1.000001 1e-06 1.000002 1.000008999999995 6.99999999298484e-06 1.0000000010279564e-06
17 17.0 1.000001 1e-06 1.000002 1.000009999999996 7.999999994012796e-06 1.0000000010279564e-06
18 18.0 1.000001 1e-06 1.000002 1.000010999999997 8.999999995040753e-06 1.0000000010279564e-06
19 19.0 1.000001 1e-06 1.000002 1.0000119999999981 9.999999996068709e-06 1.0000000010279564e-06
4 4.0 10.000001 1e-06 10.000002 20.000022 10.000020000000003 1.000000000139778e-06
30 30.0 1.000001 1e-06 1.000002 1.000003000000003 1.0000000010279564e-06 1.0000000010279564e-06
31 31.0 1.000001 1e-06 1.000002 1.0000040000000041 1.999999998503199e-06 1.0000000010279564e-06
32 32.0 1.000001 1e-06 1.000002 1.0000050000000016 3.000000006636583e-06 9.999999974752427e-07
33 33.0 1.000001 1e-06 1.000002 1.000005999999999 4.0000000041118255e-06 9.999999974752427e-07
34 34.0 1.000001 1e-06 1.000002 1.0000069999999965 5.000000001587068e-06 9.999999974752427e-07
35 35.0 1.000001 1e-06 1.000002 1.000007999999994 5.999999999062311e-06 9.999999974752427e-07
36 36.0 1.000001 1e-06 1.000002 1.0000089999999915 6.999999996537554e-06 9.999999974752427e-07
37 37.0 1.000001 1e-06 1.000002 1.000009999999989 7.999999994012796e-06 9.999999974752427e-07
38 38.0 1.000001 1e-06 1.000002 1.0000109999999864 8.999999991488039e-06 9.999999974752427e-07
39 39.0 1.000001 1e-06 1.000002 1.0000109999999864 8.999999991488039e-06 9.999999974752427e-07
5 5.0 10.000001 1e-06 10.000002 39.00003699999999 29.00003499999999 1.000000000139778e-06
6 6.0 10.000001 1e-06 10.000002 48.00003699999999 38.00003499999999 1.000000000139778e-06
7 7.0 10.000001 1e-06 10.000002 57.00003699999999 47.00003499999999 1.000000000139778e-06
8 8.0 10.000001 1e-06 10.000002 66.00003699999999 56.000035 9.999999992515995e-07
9 9.0 10.000001 1e-06 10.000002 75.00003699999999 65.000035 9.999999992515995e-07
24 24.0 10.000001 1e-06 10.000002 70.00003699999999 60.00003499999999 1.0000000010279564e-06
25 25.0 10.000001 1e-06 10.000002 79.00003699999999 69.000035 1.0000000010279564e-06
26 26.0 10.000001 1e-06 10.000002 88.00003699999999 78.000035 1.0000000010279564e-06
27 27.0 10.000001 1e-06 10.000002 97.00003699999999 87.000035 1.0000000010279564e-06
28 28.0 10.000001 1e-06 10.000002 106.00003699999999 96.000035 1.0000000010279564e-06
29 29.0 10.000001 1e-06 10.000002 115.00003699999999 105.000035 1.0000000010279564e-06
1 1.0 100.000001 1e-06 100.000002 240.00003999999998 140.000038 9.999999999177334e-07
2 2.0 100.000001 1e-06 100.000002 339.00004 239.000038 1.000000000139778e-06
3 3.0 100.000001 1e-06 100.000002 438.00004 338.000038 1.000000000139778e-06
21 21.0 100.000001 1e-06 100.000002 520.00004 420.000038 1.0000000010279564e-06
22 22.0 100.000001 1e-06 100.000002 619.00004 519.000038 1.0000000010279564e-06
23 23.0 100.000001 1e-06 100.000002 718.00004 618.000038 1.0000000010279564e-06
0 0.0 500.000001 1e-06 500.000002 1240.000041 740.000039 1e-06
20 20.0 500.000001 1e-06 500.000002 1720.000041 1220.000039 1.0000000010279564e-06
