# Cpu scheduler: fcfs
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
0 0.0 500.0 0.0 500.0 500.0 0.0 0
1 1.0 100.0 0.0 100.0 599.0 499.0 0
2 2.0 100.0 0.0 100.0 698.0 598.0 0
3 3.0 100.0 0.0 100.0 797.0 697.0 0
4 4.0 10.0 0.0 10.0 806.0 796.0 0
5 5.0 10.0 0.0 10.0 815.0 805.0 0
6 6.0 10.0 0.0 10.0 824.0 814.0 0
7 7.0 10.0 0.0 10.0 833.0 823.0 0
8 8.0 10.0 0.0 10.0 842.0 832.0 0
9 9.0 10.0 0.0 10.0 851.0 841.0 0
10 10.0 1.0 0.0 1.0 851.0 850.0 0
11 11.0 1.0 0.0 1.0 851.0 850.0 0
12 12.0 1.0 0.0 1.0 851.0 850.0 0
13 13.0 1.0 0.0 1.0 851.0 850.0 0
14 14.0 1.0 0.0 1.0 851.0 850.0 0
15 15.0 1.0 0.0 1.0 851.0 850.0 0
16 16.0 1.0 0.0 1.0 851.0 850.0 0
17 17.0 1.0 0.0 1.0 851.0 850.0 0
18 18.0 1.0 0.0 1.0 851.0 850.0 0
19 19.0 1.0 0.0 1.0 851.0 850.0 0
20 20.0 500.0 0.0 500.0 1350.0 850.0 0
21 21.0 100.0 0.0 100.0 1449.0 1349.0 0
22 22.0 100.0 0.0 100.0 1548.0 1448.0 0
23 23.0 100.0 0.0 100.0 1647.0 1547.0 0
24 24.0 10.0 0.0 10.0 1656.0 1646.0 0
25 25.0 10.0 0.0 10.0 1665.0 1655.0 0
26 26.0 10.0 0.0 10.0 1674.0 1664.0 0
27 27.0 10.0 0.0 10.0 1683.0 1673.0 0
28 28.0 10.0 0.0 10.0 1692.0 1682.0 0
29 29.0 10.0 0.0 10.0 1701.0 1691.0 0
30 30.0 1.0 0.0 1.0 1701.0 1700.0 0
31 31.0 1.0 0.0 1.0 1701.0 1700.0 0
32 32.0 1.0 0.0 1.0 1701.0 1700.0 0
33 33.0 1.0 0.0 1.0 1701.0 1700.0 0
34 34.0 1.0 0.0 1.0 1701.0 1700.0 0
35 35.0 1.0 0.0 1.0 1701.0 1700.0 0
36 36.0 1.0 0.0 1.0 1701.0 1700.0 0
37 37.0 1.0 0.0 1.0 1701.0 1700.0 0
38 38.0 1.0 0.0 1.0 1701.0 1700.0 0
39 39.0 1.0 0.0 1.0 1701.0 1700.0 0
