# Cpu scheduler: rr
# Quantum: 0.1
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
10 10.0 1.0 0.0 1.0 19.700000000000152 18.700000000000145 0
11 11.0 1.0 0.0 1.0 21.40000000000019 20.400000000000183 0
12 12.0 1.0 0.0 1.0 22.800000000000225 21.800000000000214 0
13 13.0 1.0 0.0 1.0 24.40000000000026 23.40000000000025 0
14 14.0 1.0 0.0 1.0 25.700000000000294 24.70000000000028 0
15 15.0 1.0 0.0 1.0 27.10000000000033 26.100000000000314 0
16 16.0 1.0 0.0 1.0 28.30000000000036 27.300000000000345 0
17 17.0 1.0 0.0 1.0 29.300000000000388 28.300000000000374 0
18 18.0 1.0 0.0 1.0 30.200000000000415 29.2000000000004 0
19 19.0 1.0 0.0 1.0 31.100000000000442 30.100000000000428 0
30 30.0 1.0 0.0 1.0 33.700000000000635 32.70000000000062 0
31 31.0 1.0 0.0 1.0 33.800000000000594 32.80000000000058 0
32 32.0 1.0 0.0 1.0 33.60000000000055 32.600000000000534 0
33 33.0 1.0 0.0 1.0 33.60000000000049 32.60000000000048 0
34 34.0 1.0 0.0 1.0 33.400000000000446 32.40000000000044 0
35 35.0 1.0 0.0 1.0 33.100000000000406 32.1000000000004 0
36 36.0 1.0 0.0 1.0 32.90000000000036 31.900000000000354 0
37 37.0 1.0 0.0 1.0 32.60000000000032 31.60000000000032 0
38 38.0 1.0 0.0 1.0 32.20000000000029 31.200000000000287 0
39 39.0 1.0 0.0 1.0 31.800000000000253 30.800000000000253 0
4 4.0 10.0 0.0 10.0 199.99999999999272 189.99999999999307 0
5 5.0 10.0 0.0 10.0 203.5999999999925 193.59999999999286 0
6 6.0 10.0 0.0 10.0 205.99999999999233 195.9999999999927 0
7 7.0 10.0 0.0 10.0 207.19999999999223 197.1999999999926 0
8 8.0 10.0 0.0 10.0 208.19999999999214 198.19999999999254 0
9 9.0 10.0 0.0 10.0 208.89999999999208 198.89999999999245 0
24 24.0 10.0 0.0 10.0 207.79999999999131 197.79999999999174 0
25 25.0 10.0 0.0 10.0 207.19999999999132 197.19999999999177 0
26 26.0 10.0 0.0 10.0 206.79999999999131 196.79999999999177 0
27 27.0 10.0 0.0 10.0 206.09999999999133 196.09999999999178 0
28 28.0 10.0 0.0 10.0 205.39999999999134 195.39999999999182 0
29 29.0 10.0 0.0 10.0 204.69999999999135 194.69999999999183 0
1 1.0 100.0 0.0 100.0 928.1000000001444 828.1000000001246 0
2 2.0 100.0 0.0 100.0 930.3000000001465 830.3000000001266 0
3 3.0 100.0 0.0 100.0 931.3000000001483 831.3000000001283 0
21 21.0 100.0 0.0 100.0 922.9000000001519 822.9000000001314 0
22 22.0 100.0 0.0 100.0 922.0000000001532 822.0000000001328 0
23 23.0 100.0 0.0 100.0 921.1000000001546 821.1000000001341 0
0 0.0 500.0 0.0 500.0 1736.19999999948 1236.1999999998206 0
20 20.0 500.0 0.0 500.0 1719.9999999994316 1219.9999999997758 0
