# Cpu scheduler: sjf
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
0 0.0 500.0 0.0 500.0 500.0 0.0 0
10 10.0 1.0 0.0 1.0 491.0 490.0 0
11 11.0 1.0 0.0 1.0 491.0 490.0 0
12 12.0 1.0 0.0 1.0 491.0 490.0 0
13 13.0 1.0 0.0 1.0 491.0 490.0 0
14 14.0 1.0 0.0 1.0 491.0 490.0 0
15 15.0 1.0 0.0 1.0 491.0 490.0 0
16 16.0 1.0 0.0 1.0 491.0 490.0 0
17 17.0 1.0 0.0 1.0 491.0 490.0 0
18 18.0 1.0 0.0 1.0 491.0 490.0 0
19 19.0 1.0 0.0 1.0 491.0 490.0 0
30 30.0 1.0 0.0 1.0 481.0 480.0 0
31 31.0 1.0 0.0 1.0 481.0 480.0 0
32 32.0 1.0 0.0 1.0 481.0 480.0 0
33 33.0 1.0 0.0 1.0 481.0 480.0 0
34 34.0 1.0 0.0 1.0 481.0 480.0 0
35 35.0 1.0 0.0 1.0 481.0 480.0 0
36 36.0 1.0 0.0 1.0 481.0 480.0 0
37 37.0 1.0 0.0 1.0 481.0 480.0 0
38 38.0 1.0 0.0 1.0 481.0 480.0 0
39 39.0 1.0 0.0 1.0 481.0 480.0 0
4 4.0 10.0 0.0 10.0 526.0 516.0 0
5 5.0 10.0 0.0 10.0 535.0 525.0 0
6 6.0 10.0 0.0 10.0 544.0 534.0 0
7 7.0 10.0 0.0 10.0 553.0 543.0 0
8 8.0 10.0 0.0 10.0 562.0 552.0 0
9 9.0 10.0 0.0 10.0 571.0 561.0 0
24 24.0 10.0 0.0 10.0 566.0 556.0 0
25 25.0 10.0 0.0 10.0 575.0 565.0 0
26 26.0 10.0 0.0 10.0 584.0 574.0 0
27 27.0 10.0 0.0 10.0 593.0 583.0 0
28 28.0 10.0 0.0 10.0 602.0 592.0 0
29 29.0 10.0 0.0 10.0 611.0 601.0 0
1 1.0 100.0 0.0 100.0 739.0 639.0 0
2 2.0 100.0 0.0 100.0 838.0 738.0 0
3 3.0 100.0 0.0 100.0 937.0 837.0 0
21 21.0 100.0 0.0 100.0 1019.0 919.0 0
22 22.0 100.0 0.0 100.0 1118.0 1018.0 0
23 23.0 100.0 0.0 100.0 1217.0 1117.0 0
20 20.0 500.0 0.0 500.0 1720.0 1220.0 0
