# Cpu scheduler: fcfs
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time nbursts bursts_time tat ready_wait_time io_wait_time
6 53.47419727666837 40.0 19.980333570039033 3 59.980333570039036 162.07455142186924 102.09421785183022 19.980333570039022
0 30.04874869853762 100.0 70.34281004535015 9 170.34281004535018 416.5 237.65481763370445 78.84518236629555
2 39.05269292972133 100.0 65.93093649039317 9 165.93093649039315 434.4960557688163 240.85599777057135 93.64005799824494
4 47.62338175454708 100.0 45.95401016302782 9 145.95401016302782 448.4253669439905 273.6446687480317 74.78069819595888
8 59.364880651577806 140.0 82.53074848743125 13 222.53074848743125 582.9851769515011 286.6541677277646 156.33100922373654
87 843.7956593217956 38.5 116.08573800391943 153 154.58573800391946 11369.266952031923 0.0 11330.766952031923
14 160.6850490468078 42.5 122.98447621731155 169 165.48447621731154 12162.084554034485 330.43644397117043 11789.148110063315
45 463.3491537697005 41.5 124.7771861241049 165 166.2771861241049 12010.360080301913 105.96868779296767 11862.891392508946
5 52.62353538358129 45.0 130.42943702948102 179 175.42943702948105 12801.626577726776 403.17002406059737 12353.45655366618
16 170.2399512341721 44.5 127.53563180725124 177 172.03563180725124 12753.160499951926 319.11654897730995 12389.543950974617
49 503.35908472193915 43.5 132.38961031518107 173 175.88961031518107 12638.927913164911 37.156311089919825 12558.27160207499
50 518.934582247805 43.5 130.01509056831657 173 173.51509056831657 12643.438528900264 27.11416645073257 12572.82436244953
9 73.07555144767124 46.0 135.82446543454722 183 181.82446543454716 13134.370741301644 384.7829351619034 12703.587806139742
78 753.9987344883205 43.0 127.68712915120275 171 170.68712915120278 12634.876553177342 0.0 12591.876553177342
1 30.04874869853762 47.5 140.93169084431116 189 188.43169084431113 13455.964061534596 417.0235371561329 12991.440524378464
90 868.0304639417668 43.0 125.5192168950184 171 168.51921689501842 12669.701959726423 0.0 12626.70195972642
15 166.2503914668466 47.0 140.32815363614597 187 187.328153636146 13445.957928289123 318.6748878498958 13080.283040439226
89 867.41929876322 43.5 127.76505904570037 173 171.26505904570035 12804.874363211973 0.0 12761.374363211973
26 231.29903019537772 47.0 141.4368236541948 187 188.4368236541948 13477.713634494927 230.6116428432892 13200.101991651638
32 289.0886052104572 47.0 141.4515677082746 187 188.45156770827464 13505.987375949018 180.7698446036307 13278.217531345388
47 492.8575093432935 46.0 132.43680521091898 183 178.43680521091892 13313.407652480035 50.3083062085791 13217.099346271456
34 307.9112111346712 47.0 136.05705670302072 187 183.05705670302072 13503.099216159375 172.79569251102714 13283.303523648348
21 193.25922518667565 47.5 139.85945059290648 189 187.3594505929065 13621.302584243867 259.3178735105437 13314.484710733323
41 436.7699775460739 46.5 136.98838325695556 185 183.48838325695556 13386.312249196139 100.2555094831975 13239.55673971294
59 611.2160728150786 45.5 137.2068570020348 181 182.70685700203484 13243.139135168176 0.0 13197.639135168176
62 655.3282274113265 45.5 139.24347013968654 181 184.7434701396865 13254.401511820459 0.0 13208.901511820459
33 292.1657230711432 47.5 144.7666270408748 189 192.26662704087482 13632.048493246548 175.97118428602857 13408.577308960517
3 39.972035246105214 49.0 142.583296409853 195 191.583296409853 13891.298508881613 386.97444503990266 13455.32406384171
22 207.53941667337236 48.0 141.0021416364811 191 189.00214163648107 13740.266872833921 269.84673613150244 13422.42013670242
28 241.20965658253036 48.0 140.19706718952597 191 188.19706718952594 13723.124310079033 216.12509277295302 13458.99921730608
73 720.7103891021756 45.5 132.84670119520925 181 178.34670119520928 13280.404621127635 0.09023070306386671 13234.814390424572
36 365.1262377791092 47.5 142.6422589099076 189 190.14225890990758 13639.71277844105 154.17313934848613 13438.039639092563
37 394.39954675611745 47.5 141.2905799984845 189 188.79057999848447 13637.305074224427 119.46751594208013 13470.337558282346
82 804.8986626735302 46.0 138.8428350631657 183 184.8428350631657 13384.84019808607 0.0 13338.84019808607
83 816.7458261651972 46.0 133.95339737077913 183 179.95339737077916 13388.95002029832 0.3106141738090855 13342.639406124512
57 569.4749850543402 47.5 141.8887402356042 189 189.38874023560413 13684.293069905687 10.843281453256623 13625.949788452428
24 222.39299403085366 49.5 144.41163024693483 197 193.9116302469348 14055.55741623996 245.13311490619546 13760.924301333765
29 264.89882375978226 49.5 151.45126510542994 197 200.95126510542994 14050.051307043452 232.3199047716585 13768.231402271795
18 178.17884365307532 50.0 150.17343807528837 199 200.1734380752884 14162.930479107928 277.8522168623209 13835.078262245608
19 186.00190227040474 50.0 148.156882780349 199 198.156882780349 14157.310210949367 266.34240280246325 13840.967808146903
100 1032.2228934533869 46.0 139.37163829036547 183 185.37163829036547 13350.313147084571 0.0 13304.313147084571
42 447.0734546993047 49.0 146.73801432561763 195 195.73801432561763 13940.005018973598 83.93005935350016 13807.074959620099
10 75.30416454657345 51.0 151.23286099794475 203 202.23286099794473 14356.31325686233 367.6982156958643 13937.615041166466
99 1030.9058554242529 46.5 136.718628624004 185 183.218628624004 13448.725637505562 0.0 13402.225637505562
17 173.53298432536263 51.0 147.7294396368062 203 198.7294396368062 14350.12544960201 297.04142334005456 14002.084026261955
74 733.7003667616527 48.0 143.19905289250696 191 191.19905289250693 13791.430225563254 0.0 13743.430225563256
67 676.096709128041 48.5 142.11219980389802 193 190.61219980389802 13884.063964080997 0.0 13835.563964080999
51 524.2626731747437 49.5 149.30912617584718 197 198.80912617584718 14056.8853057418 22.286075523793897 13985.099230218006
102 1043.6213530741065 47.0 138.972734275542 187 185.972734275542 13539.326837906186 0.3635974215412716 13491.963240484645
95 956.6027889383903 47.5 142.98539461607055 189 190.48539461607055 13657.0572220947 0.011970983973355942 13609.545251110725
75 745.5914140920798 48.5 144.0176094126899 193 192.51760941268986 13880.793468827533 0.0 13832.29346882753
13 160.35690741782477 52.0 155.98167647630677 207 207.9816764763068 14517.73451978289 335.92753533021835 14129.806984452673
97 972.0721919306349 48.0 142.69031949207402 191 190.69031949207402 13733.800802375834 0.0 13685.800802375834
65 668.4642663382243 49.5 143.65139670422653 197 193.1513967042265 14053.788202512973 0.37907399101788997 14003.909128521955
25 228.68014756532503 52.0 151.22505302707947 207 203.22505302707944 14513.020186372842 236.44041892413318 14224.579767448708
53 541.0511466245916 50.5 154.6618332106581 201 205.1618332106581 14224.122169271006 43.46008478899728 14130.162084482008
20 186.04168179572758 52.5 153.31292699533083 209 205.81292699533083 14605.723828026452 261.5885323657658 14291.635295660686
79 755.9489088339244 49.5 146.73349017260978 197 196.23349017260975 14044.833616542866 0.0 13995.333616542868
39 418.1971079785737 51.5 150.03599938645942 205 201.53599938645937 14383.723397258356 107.08171072106671 14225.14168653729
77 750.7547516381003 50.0 153.14927398031875 199 203.14927398031875 14114.561696932897 0.0 14064.561696932895
30 271.506203039122 53.0 162.48164821147037 211 215.48164821147037 14642.66433066217 221.3636222476282 14368.300708414541
96 962.9000082940964 49.5 147.18614760525747 197 196.68614760525747 13961.313697206006 0.0 13911.813697206006
56 560.2550465149026 51.5 154.84511000409174 205 206.34511000409174 14368.210375866824 16.685537803022612 14300.024838063802
64 661.7122129168371 51.0 147.97285219464973 203 198.97285219464973 14274.931248765415 0.45397864832261803 14223.477270117091
48 493.9137008328698 52.0 152.44184770481502 207 204.44184770481496 14448.032358025674 48.14629595084108 14347.886062074831
12 110.11395914101182 54.0 162.07504604002278 215 216.07504604002278 14840.918621948034 349.6309556461894 14437.287666301845
38 410.76844586079966 53.0 157.73309897997387 211 210.73309897997387 14588.635245196907 97.27746507265073 14438.357780124255
66 669.5120196844534 51.5 152.7382742922456 205 204.2382742922456 14331.213580518626 0.0 14279.713580518626
98 973.800092322076 50.5 147.96038392870673 201 198.46038392870676 14077.665459404772 0.0 14027.165459404772
40 423.16241701476696 53.5 158.69539102521523 213 212.19539102521526 14633.10537566254 98.28309942682074 14481.32227623572
44 455.46525632206163 53.5 156.89134527348838 213 210.39134527348835 14617.17691597981 74.84883203135246 14488.828083948458
69 703.8771281086334 52.0 152.60204589316666 207 204.6020458931667 14372.407989857818 0.0 14320.407989857818
92 926.5143462614484 51.0 148.88253120738767 203 199.88253120738767 14161.591913257971 0.0 14110.591913257971
55 558.3265783796783 53.0 158.29866179119122 211 211.2986617911912 14545.093893763256 18.776771632692657 14473.317122130564
35 322.4846022728057 54.5 168.52742893612853 217 223.0274289361285 14791.037106989492 181.5347858269687 14555.002321162523
68 677.5394845009077 52.5 150.8043645287729 209 203.3043645287729 14437.615592282153 0.0 14385.115592282153
93 938.6391167251086 51.5 150.2049701136592 205 201.70497011365921 14205.292048373547 0.10734573323429686 14153.684702640312
84 823.1529896464567 52.0 148.90643794710783 207 200.90643794710786 14321.870536188506 0.0 14269.870536188506
80 780.0048426890244 52.5 154.88207828113684 209 207.3820782811368 14383.189639127564 0.0 14330.689639127564
72 713.65178350029 53.5 163.63289990751232 213 217.13289990751232 14509.780891743207 0.0 14456.280891743208
23 213.89184845232438 56.5 160.2003731610136 225 216.70037316101357 15030.668755191564 257.74108200684026 14716.427673184724
52 538.297234485818 55.0 163.44066509151648 219 218.4406650915165 14724.436108669563 47.078343759285644 14622.357764910277
94 945.6068799999606 53.0 160.20778620585602 211 213.207786205856 14318.660117777796 0.0 14265.660117777796
85 836.2826775006496 53.5 163.1886585253708 213 216.68865852537084 14434.364067493905 0.0 14380.864067493903
76 748.8279245325427 54.0 163.21125277436334 215 217.2112527743634 14528.75218367506 0.0 14474.75218367506
60 613.530586993603 55.0 162.0081300126223 219 217.0081300126223 14681.442631405323 0.0 14626.442631405325
11 84.00154765945935 58.0 172.8857242104453 231 230.8857242104453 15223.216857480234 353.19398590093056 14812.022871579304
91 888.4462911871439 54.0 159.36753154341287 215 213.3675315434129 14424.93465867792 0.19462530282510215 14370.740033375094
58 581.2534571786778 56.0 169.82737438150014 223 225.82737438150014 14757.040819286132 3.295291519859802 14697.745527766274
7 55.09548121194118 59.5 180.92028125570735 237 240.42028125570732 15308.677163137792 389.6338224663961 14859.543340671396
46 472.5020656827275 57.5 174.13122246336826 229 231.63122246336826 14907.173063297138 84.25119351067991 14765.421869786456
88 844.2091409840806 55.5 170.0515463108932 221 225.5515463108932 14542.089064381997 0.586518337715006 14486.002546044283
101 1033.1877658525343 55.0 164.47076997693472 219 219.47076997693472 14356.13073125703 0.3797630507285703 14300.750968206301
71 705.7501788171692 56.5 168.05220336352932 225 224.55220336352932 14692.746265505408 0.4912306030877289 14635.755034902319
31 279.0657865785042 59.0 177.18524835896966 235 236.18524835896966 15123.20484541284 215.71477193536833 14848.490073477471
27 233.76919596282113 59.5 175.32766504613951 237 234.82766504613951 15173.697857125337 226.1110788573327 14888.086778268005
81 800.9311287596684 56.5 165.69044216617587 225 222.1904421661759 14609.738693587014 0.0 14553.238693587014
103 1050.4847911824083 55.5 167.10755107686546 221 222.6075510768655 14363.118824168909 0.4775217279802746 14307.141302440928
54 555.3567918291906 58.0 173.3590782126864 231 231.3590782126864 14862.063584888512 23.777829563254272 14780.285755325258
43 451.8407223065261 59.0 172.29174824336204 235 231.29174824336206 14969.859420485414 78.9406502434702 14831.918770241944
70 705.7414094202569 57.5 172.22919747700226 229 229.72919747700226 14717.549208914601 0.45334283599879655 14659.595866078604
