# Cpu scheduler: rr
# Quantum: 0.1
pid arrival_time cpu_bursts_time io_bursts_time nbursts bursts_time tat ready_wait_time io_wait_time
0 28.797323042986914 60.0 25.916566617140713 3 85.91656661714072 299.7000000000059 147.43678160913979 92.26321839086322
4 36.33030461229023 80.0 46.06460751376574 4 126.06460751376574 469.61687180958745 181.08141636114888 208.53545544842996
5 43.277579050969564 80.0 46.84758881031985 4 126.84758881031985 490.67859725105853 168.66665921751493 242.01193803353203
2 33.203182978139296 120.0 83.65221642544023 6 203.65221642544023 671.3092416261331 195.85819371001793 355.451047916099
3 36.05281004884803 140.0 86.00544696402947 7 226.00544696402946 850.835126591465 213.52727937315095 497.30784721829343
1 28.797323042986914 42.5 129.24814578700088 85 171.7481457870009 9217.871667556035 70.6322701440468 9104.739397411933
8 70.99879558873842 47.0 145.71641144105135 94 192.71641144105138 11893.597100220179 51.33418729146793 11795.262912928625
53 558.8138205063664 40.0 113.857808392155 80 153.857808392155 11607.326061259051 1.7465766272442806 11565.579484631715
11 120.56087725987045 45.5 136.5369734671049 91 182.03697346710487 12392.766370765012 23.28864241028296 12323.977728354634
14 159.25719484318688 44.5 129.26789167224575 89 173.76789167224575 12443.124582172692 10.453686356664065 12388.170895815934
6 55.66504773884387 51.0 149.87149520711043 102 200.87149520711046 12658.687717861942 57.90361351965774 12549.784104342187
12 155.9665283192387 46.5 135.15729122098023 93 181.6572912209802 13004.400237564963 10.959019534767918 12946.941218030093
57 622.1357790538154 43.5 130.13657639117727 87 173.63657639117724 12633.57082504352 1.9008124197176812 12588.1700126237
9 100.16003891234072 49.5 146.5100402227271 99 196.0100402227271 13189.186608010752 32.49894200157706 13107.187666009071
7 60.1593466336597 53.5 162.72272816015118 107 216.22272816015118 13437.506326086943 58.86183507789734 13325.144491008938
49 523.2274424469351 45.5 135.33591090251258 91 180.83591090251258 13155.0202567858 2.171669570329186 13107.34858721536
10 103.40043066634284 51.0 153.77175758488798 102 204.771757584888 13683.605187954721 30.90132225684262 13601.703865697767
38 427.8225312357372 46.5 133.27659816884645 93 179.77659816884642 13372.767721802884 2.3911829866572702 13323.876538816115
17 172.90431548004196 48.5 145.0339743780977 97 193.5339743780977 13672.784871899747 8.275204759769196 13616.009667139866
71 762.0641644651633 45.0 135.1775718431446 90 180.1775718431446 13084.657789929937 0.6790658233957174 13038.978724106431
