# Cpu scheduler: fcfs
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
1789 1.9178705548161132 10.0 0.0 10.0 17898.082702137173 17888.082702137173 0
2656 2.8027003209221077 10.0 0.0 10.0 26567.197872371067 26557.197872371067 0
2733 2.879327893434265 10.0 0.0 10.0 27337.121244798553 27327.121244798553 0
5477 5.706370868768733 10.0 0.0 10.0 54774.29420182322 54764.29420182322 0
3274 3.4587583904865786 20.0 10.0 30.0 132716.5418143015 132686.5418143015 10.0
5850 6.094694761552462 20.0 10.0 30.0 158463.90587793043 158433.90587793043 10.0
7738 8.004261169731004 20.0 10.0 30.0 177341.99631152226 177311.99631152226 10.0
521 0.5429465157466773 30.0 20.0 50.0 205179.45762617624 205129.45762617624 20.0
861 0.9225749198617924 30.0 20.0 50.0 208579.07799777214 208529.07799777214 20.0
3389 3.5859434924515936 30.0 20.0 50.0 233816.41462919954 233766.41462919954 20.0
3391 3.5878094126805715 30.0 20.0 50.0 233836.4127632793 233786.4127632793 20.0
3395 3.591929280612286 30.0 20.0 50.0 233876.40864341139 233826.40864341139 20.0
3671 3.86283684884375 30.0 20.0 50.0 236636.13773584313 236586.13773584313 20.0
4760 4.97951527476107 30.0 20.0 50.0 247525.02105741724 247475.02105741724 20.0
4897 5.122875964394725 30.0 20.0 50.0 248894.8776967276 248844.8776967276 20.0
5239 5.453362824003955 30.0 20.0 50.0 252314.54720986797 252264.54720986797 20.0
6182 6.428039869801892 30.0 20.0 50.0 261723.5725328222 261673.5725328222 20.0
6224 6.472166814116234 30.0 20.0 50.0 262143.5284058779 262093.52840587788 20.0
6967 7.197777467808284 30.0 20.0 50.0 269572.80279522424 269522.80279522424 20.0
7266 7.517230179496783 30.0 20.0 50.0 272562.4833425125 272512.4833425125 20.0
7437 7.700057211100244 30.0 20.0 50.0 274272.3005154809 274222.3005154809 20.0
7802 8.065595532504089 30.0 20.0 50.0 277911.93497715954 277861.9349771595 20.0
8117 8.38663213214265 30.0 20.0 50.0 281061.61394055985 281011.6139405599 20.0
8315 8.60358756583604 30.0 20.0 50.0 283041.3969851262 282991.3969851262 20.0
9285 9.543682958619184 30.0 20.0 50.0 292740.4568897334 292690.45688973344 20.0
9299 9.554929829338189 30.0 20.0 50.0 292880.4456428627 292830.4456428627 20.0
81 0.10121122111356792 40.0 30.0 70.0 300709.8993614709 300639.89936147095 30.0
242 0.2508280427559898 40.0 30.0 70.0 302319.7497446493 302249.7497446493 30.0
395 0.40468882413362106 40.0 30.0 70.0 303849.5958838679 303779.5958838679 30.0
492 0.5195661754107941 40.0 30.0 70.0 304819.4810065166 304749.4810065166 30.0
686 0.7220863465364971 40.0 30.0 70.0 306749.2784863455 306679.2784863455 30.0
794 0.8531616777611165 40.0 30.0 70.0 307829.14741101424 307759.1474110143 30.0
1147 1.2258662481021236 40.0 30.0 70.0 311348.77470644395 311278.7747064439 30.0
1204 1.280033978120203 40.0 30.0 70.0 311918.7205387139 311848.72053871385 30.0
1414 1.4945395353725985 40.0 30.0 70.0 314018.50603315665 313948.50603315665 30.0
1492 1.581556627237864 40.0 30.0 70.0 314798.4190160648 314728.4190160648 30.0
1705 1.8252913118608436 40.0 30.0 70.0 316928.1752813802 316858.1752813802 30.0
2019 2.1654035160652523 40.0 30.0 70.0 320057.83516917593 319987.835169176 30.0
2150 2.3108617507737135 40.0 30.0 70.0 321367.6897109412 321297.6897109413 30.0
2292 2.4683999159203247 40.0 30.0 70.0 322787.5321727761 322717.53217277606 30.0
2325 2.505627322877679 40.0 30.0 70.0 323117.49494536914 323047.49494536914 30.0
2391 2.5600551872270945 40.0 30.0 70.0 323777.4405175048 323707.4405175048 30.0
2502 2.657197339186441 40.0 30.0 70.0 324887.34337535285 324817.3433753528 30.0
2686 2.8383602261506207 40.0 30.0 70.0 326717.1622124659 326647.1622124659 30.0
2786 2.933681564412717 40.0 30.0 70.0 327707.0668911276 327637.0668911276 30.0
2995 3.1683776024681896 40.0 30.0 70.0 329796.83219508955 329726.83219508955 30.0
3435 3.6340969897329227 40.0 30.0 70.0 334156.36647570226 334086.36647570226 30.0
3451 3.6471261057252597 40.0 30.0 70.0 334316.3534465863 334246.3534465863 30.0
3531 3.715502966012382 40.0 30.0 70.0 335116.285069726 335046.285069726 30.0
3859 4.051709805717438 40.0 30.0 70.0 338385.9488628863 338315.9488628863 30.0
3924 4.124228488154985 40.0 30.0 70.0 339035.8763442039 338965.87634420383 30.0
4722 4.943309901331754 40.0 30.0 70.0 347015.0572627907 346945.0572627907 30.0
5012 5.2383666807341625 40.0 30.0 70.0 349894.7622060113 349824.7622060113 30.0
5044 5.26955798222478 40.0 30.0 70.0 350214.7310147098 350144.7310147098 30.0
5313 5.5321625072416305 40.0 30.0 70.0 352894.4684101848 352824.4684101848 30.0
5644 5.8882629415483425 40.0 30.0 70.0 356194.11230975046 356124.1123097505 30.0
5651 5.897222406979208 40.0 30.0 70.0 356264.10335028503 356194.10335028503 30.0
5798 6.052640540772418 40.0 30.0 70.0 357733.94793215126 357663.94793215126 30.0
5801 6.054522431068654 40.0 30.0 70.0 357763.946050261 357693.9460502609 30.0
6157 6.398419851599699 40.0 30.0 70.0 361313.6021528404 361243.60215284047 30.0
6311 6.550422832111492 40.0 30.0 70.0 362833.4501498599 362763.4501498599 30.0
6413 6.663787290370867 40.0 30.0 70.0 363853.3367854016 363783.3367854017 30.0
6456 6.701257143950288 40.0 30.0 70.0 364283.2993155481 364213.29931554804 30.0
6639 6.860909841778607 40.0 30.0 70.0 366113.13966285024 366043.13966285024 30.0
6990 7.220398725743094 40.0 30.0 70.0 369612.78017396625 369542.7801739663 30.0
7059 7.292860947994756 40.0 30.0 70.0 370302.707711744 370232.707711744 30.0
7386 7.648106168430006 40.0 30.0 70.0 373562.3524665236 373492.3524665236 30.0
7500 7.7670406385260335 40.0 30.0 70.0 374692.2335320535 374622.23353205353 30.0
7629 7.89017498700835 40.0 30.0 70.0 375982.110397705 375912.110397705 30.0
7927 8.17631349512566 40.0 30.0 70.0 378941.8242591969 378871.8242591969 30.0
8271 8.554549858643146 40.0 30.0 70.0 382371.4460228334 382301.44602283335 30.0
8287 8.569792839134456 40.0 30.0 70.0 382531.4307798529 382461.4307798529 30.0
8343 8.63067976761723 40.0 30.0 70.0 383081.3698929244 383011.36989292444 30.0
8401 8.681637402670326 40.0 30.0 70.0 383661.31893528934 383591.3189352894 30.0
8741 9.000149632648002 40.0 30.0 70.0 387061.0004230594 386991.00042305933 30.0
8753 9.013241982497176 40.0 30.0 70.0 387180.9873307095 387110.9873307095 30.0
8833 9.092864496478235 40.0 30.0 70.0 387980.90770819556 387910.9077081955 30.0
9253 9.501120899861967 40.0 30.0 70.0 392180.49945179216 392110.49945179216 30.0
9274 9.52333097788788 40.0 30.0 70.0 392390.47724171414 392320.47724171414 30.0
9326 9.574569939276813 40.0 30.0 70.0 392890.42600275273 392820.42600275273 30.0
9349 9.598196806616762 40.0 30.0 70.0 393120.4023758854 393050.4023758854 30.0
9451 9.693895996863413 40.0 30.0 70.0 394140.3066766952 394070.3066766951 30.0
9647 9.884588173458436 40.0 30.0 70.0 396100.11598451855 396030.11598451855 30.0
9848 10.08111979375371 40.0 30.0 70.0 398109.91945289826 398039.91945289826 30.0
9899 10.122660397510662 40.0 30.0 70.0 398619.8779122945 398549.87791229447 30.0
37 0.04347959210715302 50.0 40.0 90.0 400009.9570930999 399919.95709309995 40.0
124 0.14171900382704156 50.0 40.0 90.0 400869.8588536882 400779.85885368823 40.0
237 0.24991596343955627 50.0 40.0 90.0 401999.7506567286 401909.7506567286 40.0
280 0.28450716652489605 50.0 40.0 90.0 402419.7160655255 402329.71606552554 40.0
330 0.32895755325601045 50.0 40.0 90.0 402919.67161513877 402829.67161513877 40.0
399 0.4085517246635832 50.0 40.0 90.0 403599.59202096733 403509.5920209674 40.0
432 0.43677567953889473 50.0 40.0 90.0 403929.5637970125 403839.56379701244 40.0
495 0.5207491753895435 50.0 40.0 90.0 404549.4798235166 404459.4798235166 40.0
510 0.5359198901430587 50.0 40.0 90.0 404699.46465280186 404609.46465280186 40.0
518 0.5395800576558631 50.0 40.0 90.0 404779.46099263435 404689.46099263435 40.0
539 0.566547253062076 50.0 40.0 90.0 404979.43402543897 404889.43402543897 40.0
647 0.675864948851817 50.0 40.0 90.0 406059.3247077432 405969.32470774313 40.0
655 0.6855853291236501 50.0 40.0 90.0 406139.3149873629 406049.31498736294 40.0
672 0.7095633594919473 50.0 40.0 90.0 406309.2910093325 406219.2910093325 40.0
726 0.7654053287488923 50.0 40.0 90.0 406839.23516736325 406749.2351673633 40.0
733 0.7732435241347307 50.0 40.0 90.0 406909.2273291679 406819.2273291679 40.0
828 0.8862514168569132 50.0 40.0 90.0 407849.11432127515 407759.11432127515 40.0
836 0.8978880590922371 50.0 40.0 90.0 407929.10268463293 407839.1026846329 40.0
844 0.9082934073624473 50.0 40.0 90.0 408009.09227928467 407919.0922792846 40.0
860 0.9218117410825125 50.0 40.0 90.0 408169.07876095094 408079.07876095094 40.0
927 0.9921320719994193 50.0 40.0 90.0 408829.00844062003 408739.00844062003 40.0
1088 1.173892382271803 50.0 40.0 90.0 410438.8266803097 410348.8266803097 40.0
1121 1.200164869124824 50.0 40.0 90.0 410768.8004078229 410678.8004078229 40.0
1122 1.2007180042461596 50.0 40.0 90.0 410778.79985468776 410688.79985468776 40.0
1202 1.2768706563537393 50.0 40.0 90.0 411568.72370203567 411478.72370203567 40.0
1222 1.294508941774569 50.0 40.0 90.0 411758.70606375026 411668.7060637502 40.0
1247 1.3176332884252766 50.0 40.0 90.0 412008.6829394036 411918.6829394036 40.0
1278 1.3499476029792528 50.0 40.0 90.0 412318.65062508907 412228.65062508907 40.0
1284 1.3570913177384412 50.0 40.0 90.0 412378.6434813743 412288.64348137425 40.0
1295 1.3725378096228893 50.0 40.0 90.0 412488.6280348824 412398.62803488236 40.0
1296 1.3745006820217927 50.0 40.0 90.0 412498.62607201 412408.62607201 40.0
1328 1.4185262794850835 50.0 40.0 90.0 412818.5820464125 412728.5820464125 40.0
1372 1.4524047720084678 50.0 40.0 90.0 413258.54816792003 413168.54816792 40.0
1478 1.5573655383820293 50.0 40.0 90.0 414308.44320715364 414218.44320715364 40.0
1520 1.6228374714745306 50.0 40.0 90.0 414718.37773522054 414628.37773522054 40.0
1555 1.6575291851024572 50.0 40.0 90.0 415068.3430435069 414978.34304350696 40.0
1581 1.68868206514441 50.0 40.0 90.0 415328.31189062685 415238.3118906269 40.0
1595 1.7063377095990648 50.0 40.0 90.0 415468.2942349824 415378.29423498246 40.0
1691 1.808172505976207 50.0 40.0 90.0 416428.19240018603 416338.1924001861 40.0
1703 1.8211160764358798 50.0 40.0 90.0 416548.1794566156 416458.1794566156 40.0
1783 1.9107291044802932 50.0 40.0 90.0 417338.08984358754 417248.08984358754 40.0
1802 1.938487286130318 50.0 40.0 90.0 417518.06208540587 417428.0620854059 40.0
1932 2.076969134755873 50.0 40.0 90.0 418817.9236035573 418727.9236035573 40.0
1993 2.136403366139155 50.0 40.0 90.0 419427.86416932585 419337.8641693259 40.0
2129 2.2890494089574176 50.0 40.0 90.0 420777.71152328304 420687.71152328304 40.0
2141 2.301859804976964 50.0 40.0 90.0 420897.69871288707 420807.698712887 40.0
2142 2.302074141757949 50.0 40.0 90.0 420907.6984985503 420817.6984985502 40.0
2146 2.307622751944141 50.0 40.0 90.0 420947.6929499401 420857.6929499401 40.0
2152 2.314354689257457 50.0 40.0 90.0 420997.68621800275 420907.68621800275 40.0
2259 2.4375953761981752 50.0 40.0 90.0 422067.5629773158 421977.56297731586 40.0
2280 2.4645049012893074 50.0 40.0 90.0 422277.53606779076 422187.5360677907 40.0
2301 2.4792677399224425 50.0 40.0 90.0 422477.5213049521 422387.5213049521 40.0
2318 2.496922518916264 50.0 40.0 90.0 422647.5036501731 422557.5036501731 40.0
2319 2.5018447504085177 50.0 40.0 90.0 422657.4987279416 422567.49872794165 40.0
2355 2.5320450272279356 50.0 40.0 90.0 423007.4685276648 422917.4685276648 40.0
2399 2.566061084283596 50.0 40.0 90.0 423437.43451160775 423347.43451160775 40.0
2410 2.5738668894806764 50.0 40.0 90.0 423547.42670580256 423457.42670580256 40.0
2446 2.6063593151668325 50.0 40.0 90.0 423907.39421337686 423817.39421337686 40.0
2493 2.6482031475126204 50.0 40.0 90.0 424377.3523695445 424287.3523695445 40.0
2504 2.658312332726825 50.0 40.0 90.0 424477.3422603593 424387.3422603593 40.0
2681 2.829760449434919 50.0 40.0 90.0 426237.1708122426 426147.17081224255 40.0
2682 2.8307058385588144 50.0 40.0 90.0 426247.16986685345 426157.16986685345 40.0
2761 2.904109326793788 50.0 40.0 90.0 427017.09646336525 426927.09646336525 40.0
2798 2.946470388317844 50.0 40.0 90.0 427377.0541023037 427287.0541023037 40.0
2802 2.9491832655766332 50.0 40.0 90.0 427417.05138942646 427327.05138942646 40.0
2830 2.9881679907730363 50.0 40.0 90.0 427697.01240470127 427607.0124047012 40.0
2843 3.0069884204558375 50.0 40.0 90.0 427826.9935842716 427736.9935842715 40.0
2893 3.0561020536117067 50.0 40.0 90.0 428326.9444706384 428236.9444706384 40.0
2966 3.1345312455266483 50.0 40.0 90.0 429056.8660414465 428966.86604144645 40.0
3130 3.3036255548403837 50.0 40.0 90.0 430686.6969471372 430596.6969471372 40.0
3136 3.3093849632301064 50.0 40.0 90.0 430746.6911877288 430656.6911877288 40.0
3186 3.356596852378229 50.0 40.0 90.0 431246.64397583966 431156.6439758396 40.0
3212 3.38426496957716 50.0 40.0 90.0 431506.61630772246 431416.6163077224 40.0
3247 3.4259975804033735 50.0 40.0 90.0 431856.5745751116 431766.5745751116 40.0
3286 3.465630023483499 50.0 40.0 90.0 432236.5349426685 432146.5349426685 40.0
3311 3.497267912898466 50.0 40.0 90.0 432486.5033047791 432396.5033047791 40.0
3401 3.596080022587071 50.0 40.0 90.0 433356.40449266945 433266.4044926694 40.0
3514 3.7015093690607577 50.0 40.0 90.0 434466.29906332295 434376.29906332295 40.0
3571 3.7531627914761656 50.0 40.0 90.0 435026.24740990053 434936.24740990053 40.0
3726 3.9071068327102343 50.0 40.0 90.0 436566.0934658593 436476.0934658593 40.0
3755 3.931334625237282 50.0 40.0 90.0 436856.0692380668 436766.0692380668 40.0
3886 4.082267431707474 50.0 40.0 90.0 438155.9183052603 438065.9183052603 40.0
