# Cpu scheduler: rr
# Quantum: 1.0
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
2199 2.154825025735842 20.0 10.0 30.0 130578.84571458011 110840.84571458011 19718.0
2644 2.5694824960773177 20.0 10.0 30.0 134295.4310571098 110552.43105710977 23723.0
2953 2.874690479591841 20.0 10.0 30.0 137681.12584912626 111157.12584912627 26504.0
3663 3.5626928904473503 20.0 10.0 30.0 144951.43784671542 112038.4378467154 32893.0
3920 3.825502900000266 20.0 10.0 30.0 147469.17503670586 112243.17503670586 35206.0
4373 4.304987541632001 20.0 10.0 30.0 151924.69555206422 112622.69555206421 39282.000000000015
4475 4.392879996879912 20.0 10.0 30.0 152950.60765960897 112730.60765960896 40200.000000000015
8211 8.086191144756144 20.0 10.0 30.0 190351.9143484611 116511.91434846108 73820.00000000001
71 0.07144047855670398 30.0 20.0 50.0 208959.9290991273 131574.9290991273 77355.00000000001
105 0.0972462061951472 30.0 20.0 50.0 209299.90329339966 131348.90329339966 77921.00000000001
324 0.3143662283888945 30.0 20.0 50.0 211489.68617337747 129895.68617337746 81564.00000000001
932 0.9248686150523897 30.0 20.0 50.0 217568.0756709908 125865.07567099079 91673.00000000001
1078 1.0775811813675344 30.0 20.0 50.0 219027.9229584245 125845.92295842447 93152.00000000001
1659 1.6232598685601136 30.0 20.0 50.0 224837.3772797373 128485.37727973728 96322.00000000001
1849 1.8159391239195752 30.0 20.0 50.0 226738.18460048194 128880.18460048192 97828.00000000001
2942 2.8696774304815564 30.0 20.0 50.0 237646.13086217537 129449.13086217537 108167.0
3173 3.0822656151496117 30.0 20.0 50.0 239945.9182739907 129801.91827399071 110114.0
3226 3.1277776972766183 30.0 20.0 50.0 240475.87276190857 129870.87276190858 110575.0
3302 3.203384120798927 30.0 20.0 50.0 241235.79715548505 129969.79715548505 111236.0
3661 3.561337135166258 30.0 20.0 50.0 244826.43920247068 130346.43920247069 114450.0
3803 3.704154187996484 30.0 20.0 50.0 246236.29638541787 130463.29638541785 115743.0
4203 4.13523440424272 30.0 20.0 50.0 250225.86530520162 130774.8653052016 119421.00000000001
4240 4.165057296109448 30.0 20.0 50.0 250595.83548230975 130804.83548230973 119761.00000000001
6338 6.311366133455598 30.0 20.0 50.0 271552.6891734724 132944.6891734724 138578.0
7968 7.848510434742269 30.0 20.0 50.0 287852.1520291711 134577.1520291711 153245.0
8054 7.937947897711817 30.0 20.0 50.0 288712.06259170815 134663.06259170815 154019.0
8686 8.530883979240187 30.0 20.0 50.0 295020.4696556266 135295.4696556266 159695.0
9088 8.948748693351746 30.0 20.0 50.0 299041.0517909125 135697.0517909125 163314.0
9627 9.46275095705263 30.0 20.0 50.0 304430.5377886488 136236.5377886488 168164.0
147 0.15251752503735033 40.0 30.0 70.0 309618.84802208084 149378.84802208078 160200.0
327 0.32050170592168375 40.0 30.0 70.0 311408.68003789993 148187.68003789993 163181.0
354 0.34191589925120075 40.0 30.0 70.0 311678.6586237066 148005.6586237066 163633.0
506 0.49568881952758553 40.0 30.0 70.0 313198.50485078635 146999.5048507863 166159.0
728 0.7024740438426711 40.0 30.0 70.0 315418.29806556203 145526.298065562 169852.0
951 0.9403193849985688 40.0 30.0 70.0 317639.0602202209 144049.06022022082 173550.0
972 0.9590289938297926 40.0 30.0 70.0 317849.041510612 143910.041510612 173899.0
1057 1.0575497284653634 40.0 30.0 70.0 318698.94298987737 144010.94298987737 174648.0
1218 1.216266193486415 40.0 30.0 70.0 320298.78427341237 145025.78427341237 175233.0
1229 1.2203876292912428 40.0 30.0 70.0 320408.78015197656 145083.78015197656 175285.0
1478 1.448118292982292 40.0 30.0 70.0 322898.5524213129 146231.55242131287 176627.0
1793 1.7496465903637248 40.0 30.0 70.0 326038.2508930155 147108.25089301547 178890.0
1815 1.7788209664458874 40.0 30.0 70.0 326258.2217186394 147141.2217186394 179077.0
1904 1.869608498256628 40.0 30.0 70.0 327137.1309311076 147270.1309311076 179827.0
2182 2.1391471840838725 40.0 30.0 70.0 329916.86139242176 147466.86139242176 182410.0
2229 2.181648962759538 40.0 30.0 70.0 330376.8188906431 147449.81889064307 182887.0
2268 2.2151307521572816 40.0 30.0 70.0 330766.78540885367 147435.7854088537 183291.0
2300 2.2510518307812393 40.0 30.0 70.0 331086.7494877751 147425.7494877751 183621.0
2473 2.3985419308404823 40.0 30.0 70.0 332816.601997675 147284.60199767502 185492.0
2752 2.6834839905684125 40.0 30.0 70.0 335597.3170556153 147401.3170556153 188156.0
2818 2.7539767339182046 40.0 30.0 70.0 336257.24656287197 147530.24656287194 188687.0
2913 2.8478517754627712 40.0 30.0 70.0 337207.1526878304 147708.15268783038 189459.0
3196 3.101751951276478 40.0 30.0 70.0 340006.8987876546 148143.8987876546 191823.0
3214 3.118047052050678 40.0 30.0 70.0 340186.8824925538 148167.8824925538 191979.0
3219 3.1251056152810675 40.0 30.0 70.0 340236.87543399056 148171.87543399056 192025.0
3225 3.1276465282219954 40.0 30.0 70.0 340296.8728930776 148180.8728930776 192076.0
3425 3.33198514237219 40.0 30.0 70.0 342276.6685544635 148418.66855446348 193818.0
3443 3.357938156347821 40.0 30.0 70.0 342456.6426014495 148443.6426014495 193973.0
3511 3.4190093614364896 40.0 30.0 70.0 343136.58153024444 148509.58153024444 194587.0
3529 3.43176092550462 40.0 30.0 70.0 343316.56877868035 148525.56877868035 194751.0
3583 3.4836068871689925 40.0 30.0 70.0 343856.5169327187 148579.5169327187 195237.0
3603 3.495926484622719 40.0 30.0 70.0 344056.5046131212 148600.50461312121 195416.0
3654 3.5547811891510928 40.0 30.0 70.0 344566.4457584167 148649.44575841672 195877.0
3725 3.629797218691642 40.0 30.0 70.0 345255.37074238714 148708.37074238717 196507.0
3741 3.6510729234502133 40.0 30.0 70.0 345415.3494666824 148721.3494666824 196654.0
3768 3.6711611129376345 40.0 30.0 70.0 345685.3293784929 148742.3293784929 196903.0
3812 3.7130950725979837 40.0 30.0 70.0 346115.28744453326 148778.28744453326 197297.0
3849 3.7592475812371733 40.0 30.0 70.0 346485.2412920246 148803.2412920246 197642.0
3854 3.7628873215785017 40.0 30.0 70.0 346535.23765228427 148808.23765228427 197687.0
3868 3.7717216621565237 40.0 30.0 70.0 346675.2288179437 148822.22881794372 197813.0
4019 3.9362295351726475 40.0 30.0 70.0 348175.0643100707 148939.06431007068 199196.0
4269 4.196433702667054 40.0 30.0 70.0 350654.8041059032 149143.80410590317 201471.0
4277 4.204247218930095 40.0 30.0 70.0 350734.79629238695 149152.7962923869 201542.0
4511 4.419930745898377 40.0 30.0 70.0 353054.58060885995 149398.58060885995 203616.0
4577 4.490936584378704 40.0 30.0 70.0 353714.5096030215 149473.50960302146 204201.0
4584 4.498548674273521 40.0 30.0 70.0 353784.5019909316 149481.50199093157 204263.0
4720 4.658681416943247 40.0 30.0 70.0 355145.3418581889 149637.3418581889 205468.0
4954 4.893136473212309 40.0 30.0 70.0 357485.10740313266 149889.10740313263 207556.0
4957 4.89537546204938 40.0 30.0 70.0 357515.1051641438 149892.10516414378 207583.0
5028 4.969385671793031 40.0 30.0 70.0 358225.0311539341 149963.03115393405 208222.0
5151 5.098954996966245 40.0 30.0 70.0 359454.9015846089 150084.9015846089 209330.0
5383 5.351280084685053 40.0 30.0 70.0 361774.64925952116 150310.64925952116 211424.0
5539 5.502520007254016 40.0 30.0 70.0 363333.4980195986 150462.4980195986 212831.0
5675 5.637756875576371 40.0 30.0 70.0 364693.36278273026 150591.36278273026 214062.0
5710 5.674050168292638 40.0 30.0 70.0 365043.32648943755 150626.32648943755 214377.0
5733 5.693265230201416 40.0 30.0 70.0 365273.30727437563 150649.30727437563 214584.0
5772 5.726279874120223 40.0 30.0 70.0 365663.27425973176 150688.27425973173 214935.0
5910 5.873465811103029 40.0 30.0 70.0 367043.1270737948 150821.12707379472 216182.0
5945 5.913456096342176 40.0 30.0 70.0 367393.08708350954 150854.08708350948 216499.0
5972 5.938990299757068 40.0 30.0 70.0 367663.0615493061 150881.0615493061 216742.0
5982 5.948073970031568 40.0 30.0 70.0 367763.0524656358 150891.05246563582 216832.0
6015 5.983988517272472 40.0 30.0 70.0 368093.0165510886 150926.01655108857 217127.0
6036 6.0175871129874485 40.0 30.0 70.0 368302.9829524929 150947.98295249284 217315.0
6307 6.276030148973418 40.0 30.0 70.0 371012.7245094569 151223.72450945686 219749.0
6346 6.318290687366976 40.0 30.0 70.0 371392.6822489185 151261.68224891846 220091.0
6367 6.332455560731196 40.0 30.0 70.0 371602.6680840451 151284.66808404512 220278.0
6373 6.339956928743234 40.0 30.0 70.0 371662.6605826771 151290.6605826771 220332.0
6465 6.417395161618318 40.0 30.0 70.0 372583.5831444442 151386.58314444422 221157.0
6498 6.452320500680956 40.0 30.0 70.0 372913.54821910517 151419.54821910517 221454.0
6649 6.59698024876134 40.0 30.0 70.0 374423.4035593571 151569.40355935707 222814.0
6676 6.624190183599168 40.0 30.0 70.0 374693.37634942227 151596.37634942224 223057.0
6852 6.779347417941931 40.0 30.0 70.0 376453.2211921879 151772.2211921879 224641.0
6992 6.9167929714515415 40.0 30.0 70.0 377853.0837466344 151911.0837466344 225902.0
7023 6.955228752197251 40.0 30.0 70.0 378163.04531085363 151942.04531085363 226181.0
7089 7.028032445389772 40.0 30.0 70.0 378822.97250716045 152008.97250716045 226774.0
7154 7.095565821296041 40.0 30.0 70.0 379472.9049737846 152072.90497378455 227360.0
7168 7.102714261501024 40.0 30.0 70.0 379612.89782534435 152086.89782534435 227486.0
7175 7.108174725535545 40.0 30.0 70.0 379682.8923648803 152093.8923648803 227549.0
7230 7.168111393788582 40.0 30.0 70.0 380232.83242821204 152147.83242821204 228045.0
7392 7.312511792032438 40.0 30.0 70.0 381851.6880278138 152310.6880278138 229501.0
7581 7.480405435259553 40.0 30.0 70.0 383741.5201341706 152499.5201341706 231202.0
7632 7.532571515758765 40.0 30.0 70.0 384251.4679680901 152550.4679680901 231661.0
