# Cpu scheduler: sjf
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
2199 2.154825025735842 20.0 10.0 30.0 121997.84571458011 121967.8457145801 10.0
2644 2.5694824960773177 20.0 10.0 30.0 126447.43105710976 126417.43105710976 10.0
2953 2.874690479591841 20.0 10.0 30.0 129537.12584912624 129507.12584912624 10.0
3663 3.5626928904473503 20.0 10.0 30.0 136636.43784671542 136606.43784671542 10.0
3920 3.825502900000266 20.0 10.0 30.0 139206.17503670586 139176.17503670586 10.0
4373 4.304987541632001 20.0 10.0 30.0 143735.69555206422 143705.69555206422 10.0
4475 4.392879996879912 20.0 10.0 30.0 144755.60765960897 144725.60765960897 10.0
8211 8.086191144756144 20.0 10.0 30.0 182111.9143484611 182081.91434846108 10.0
71 0.07144047855670398 30.0 20.0 50.0 200719.9290991273 200669.9290991273 20.0
105 0.0972462061951472 30.0 20.0 50.0 201059.90329339966 201009.90329339966 20.0
324 0.3143662283888945 30.0 20.0 50.0 203249.68617337747 203199.68617337744 20.0
932 0.9248686150523897 30.0 20.0 50.0 209329.0756709908 209279.0756709908 20.0
1078 1.0775811813675344 30.0 20.0 50.0 210788.9229584245 210738.9229584245 20.0
1659 1.6232598685601136 30.0 20.0 50.0 216598.3772797373 216548.3772797373 20.0
1849 1.8159391239195752 30.0 20.0 50.0 218498.18460048194 218448.18460048194 20.0
2942 2.8696774304815564 30.0 20.0 50.0 229407.13086217537 229357.13086217537 20.0
3173 3.0822656151496117 30.0 20.0 50.0 231706.9182739907 231656.9182739907 20.0
3226 3.1277776972766183 30.0 20.0 50.0 232236.87276190857 232186.87276190857 20.0
3302 3.203384120798927 30.0 20.0 50.0 232996.79715548505 232946.79715548505 20.0
3661 3.561337135166258 30.0 20.0 50.0 236586.43920247068 236536.4392024707 20.0
3803 3.704154187996484 30.0 20.0 50.0 237996.29638541787 237946.29638541787 20.0
4203 4.13523440424272 30.0 20.0 50.0 241985.86530520162 241935.86530520162 20.0
4240 4.165057296109448 30.0 20.0 50.0 242355.83548230975 242305.83548230975 20.0
6338 6.311366133455598 30.0 20.0 50.0 263313.6891734724 263263.6891734724 20.0
7968 7.848510434742269 30.0 20.0 50.0 279612.1520291711 279562.1520291711 20.0
8054 7.937947897711817 30.0 20.0 50.0 280472.06259170815 280422.06259170815 20.0
8686 8.530883979240187 30.0 20.0 50.0 286781.4696556266 286731.4696556266 20.0
9088 8.948748693351746 30.0 20.0 50.0 290801.0517909125 290751.0517909125 20.0
9627 9.46275095705263 30.0 20.0 50.0 296190.5377886488 296140.5377886488 20.0
147 0.15251752503735033 40.0 30.0 70.0 301379.84802208084 301309.84802208084 30.0
327 0.32050170592168375 40.0 30.0 70.0 303169.68003789993 303099.68003789993 30.0
354 0.34191589925120075 40.0 30.0 70.0 303439.6586237066 303369.6586237066 30.0
506 0.49568881952758553 40.0 30.0 70.0 304959.50485078635 304889.5048507863 30.0
728 0.7024740438426711 40.0 30.0 70.0 307179.29806556203 307109.29806556203 30.0
951 0.9403193849985688 40.0 30.0 70.0 309399.0602202209 309329.0602202208 30.0
972 0.9590289938297926 40.0 30.0 70.0 309609.041510612 309539.041510612 30.0
1057 1.0575497284653634 40.0 30.0 70.0 310458.94298987737 310388.94298987737 30.0
1218 1.216266193486415 40.0 30.0 70.0 312058.78427341237 311988.78427341237 30.0
